txn_date;transaction_description;amount;balance
2026-05-31;OPENING BALANCE;;240310.68
2026-06-08;DEPOSIT IVYWOOD ENTERPRISES INV-2238;30578.0;270888.68
2026-06-09;CHECK #1011 GRANDVIEW PROPERTIES;-11986.0;258902.68
2026-06-12;INCOMING WIRE - MEMBER CONTRIBUTION;10999.0;269901.68
2026-06-14;DEPOSIT ALDERGATE IN INV-2241;31701.0;301602.68
2026-06-15;PAYROLL ACH BATCH;-54120.0;247482.68
2026-06-18;DEPOSIT ALDERGATE IN;12505.0;259987.68
2026-06-27;SERVICE FEE;-43.64;259944.04
2026-06-28;CHECK #1016 TRELLIS MARK;-3211.0;256733.04
2026-06-30;INTEREST CREDIT;28.78;256761.82
2026-06-30;ENDING BALANCE;;256761.82
