txn_date;Account;dr;credit;Memo
2026-04-01;1000 Cash;375128.91;;Opening balances
2026-04-01;1300 Prepaid Insurance;738.0;;Opening balances
2026-04-01;1500 Equipment;82154.0;;Opening balances
2026-04-01;1590 Accumulated Depreciation;;20538.45;Opening balances
2026-04-01;2000 Accounts Payable;;41718.46;Opening balances
2026-04-01;3000 Retained Earnings;;395764.0;Opening balances
2026-04-03;1000 Cash;;11986.0;Rent - Grandview Properties LLC
2026-04-03;6100 Rent Expense;11986.0;;Rent - Grandview Properties LLC
2026-04-03;2000 Accounts Payable;;1665.0;BILL-3123 CloudSpan Hosting
2026-04-03;6450 Software Expense;1665.0;;BILL-3123 CloudSpan Hosting
2026-04-03;2000 Accounts Payable;;1452.0;BILL-3125 Bright Harbor Media
2026-04-03;6200 Advertising & Marketing;1452.0;;BILL-3125 Bright Harbor Media
2026-04-04;1100 Accounts Receivable;36716.0;;Invoice INV-2233 - Zephyr Dynamics
2026-04-04;4000 Subscription Revenue;;36716.0;Invoice INV-2233 - Zephyr Dynamics
2026-04-06;1000 Cash;;20859.23;Payment on account - opening payables
2026-04-06;2000 Accounts Payable;20859.23;;Payment on account - opening payables
2026-04-06;1100 Accounts Receivable;10391.0;;Invoice INV-2232 - Zephyr Dynamics
2026-04-06;4000 Subscription Revenue;;10391.0;Invoice INV-2232 - Zephyr Dynamics
2026-04-09;1000 Cash;;1452.0;Pay BILL-3125 Bright Harbor Media CHK#1003
2026-04-09;2000 Accounts Payable;1452.0;;Pay BILL-3125 Bright Harbor Media CHK#1003
2026-04-11;2000 Accounts Payable;;1611.0;BILL-3122 Clearbyte Cloud Services
2026-04-11;6300 Software Subscriptions;1611.0;;BILL-3122 Clearbyte Cloud Services
2026-04-11;2000 Accounts Payable;;7988.0;BILL-3126 Helix IT Solutions
2026-04-11;6450 Software Expense;7988.0;;BILL-3126 Helix IT Solutions
2026-04-12;2000 Accounts Payable;;5066.0;BILL-3124 Stackline SaaS Tools
2026-04-12;6300 Software Subscriptions;5066.0;;BILL-3124 Stackline SaaS Tools
2026-04-15;1000 Cash;;30810.0;Payroll 2026-04/01-04/15
2026-04-15;2300 Payroll Liabilities;;8689.0;Payroll 2026-04/01-04/15
2026-04-15;6000 Salaries Expense;39499.0;;Payroll 2026-04/01-04/15
2026-04-16;1100 Accounts Receivable;19739.0;;Invoice INV-2235 - Aldergate Insurance
2026-04-16;4000 Subscription Revenue;;19739.0;Invoice INV-2235 - Aldergate Insurance
2026-04-16;1000 Cash;;1611.0;Pay BILL-3122 Clearbyte Cloud Services CHK#1004
2026-04-16;2000 Accounts Payable;1611.0;;Pay BILL-3122 Clearbyte Cloud Services CHK#1004
2026-04-18;1000 Cash;;7988.0;Pay BILL-3126 Helix IT Solutions CHK#1005
2026-04-18;2000 Accounts Payable;7988.0;;Pay BILL-3126 Helix IT Solutions CHK#1005
2026-04-19;1100 Accounts Receivable;6928.0;;Invoice INV-2234 - Birchfield Foods
2026-04-19;4000 Subscription Revenue;;6928.0;Invoice INV-2234 - Birchfield Foods
2026-04-20;1000 Cash;;5066.0;Pay BILL-3124 Stackline SaaS Tools CHK#1006
2026-04-20;2000 Accounts Payable;5066.0;;Pay BILL-3124 Stackline SaaS Tools CHK#1006
2026-04-22;1100 Accounts Receivable;18565.0;;Invoice INV-2236 - Pinehurst Digital
2026-04-22;4100 Professional Services Revenue;;18565.0;Invoice INV-2236 - Pinehurst Digital
2026-04-25;1000 Cash;10391.0;;Deposit - Zephyr Dynamics INV-2232
2026-04-25;1100 Accounts Receivable;;10391.0;Deposit - Zephyr Dynamics INV-2232
2026-04-28;1000 Cash;;30911.0;Payroll 2026-04/16-04/30
2026-04-28;2300 Payroll Liabilities;;8718.0;Payroll 2026-04/16-04/30
