account_number;account_name;apr_budget;may_budget;jun_budget
4000;Product Sales;95668.0;81690.0;92991.0
4100;Shipping Income;58948.0;39599.0;46831.0
5000;Cost of Goods Sold;41045.0;38247.0;51189.0
5100;Freight & Shipping;3255.0;0.0;5493.0
6000;Salaries Expense;104073.0;134004.0;133758.0
6100;Rent Expense;7167.0;7034.0;7127.0
6200;Advertising & Marketing;1380.0;0.0;2919.0
6400;Insurance Expense;102.0;103.0;105.0
6450;Software Expense;3761.0;11592.0;8876.0
6500;Utilities Expense;0.0;0.0;0.0
6600;Professional Fees;0.0;13108.0;8223.0
6700;Office Supplies;681.0;5217.0;6645.0
6800;Depreciation Expense;1517.28;1534.28;1470.28
6900;Bank Fees;0.0;0.0;0.0
7100;Interest Income;0.0;0.0;0.0
