Date;description;Amount;balance
2026-05-31;OPENING BALANCE;;183487.56
2026-06-03;DEPOSIT BROCKMAN  HALE INV-2214;15326.0;198813.56
2026-06-07;CHECK #1010 AMBERFIELD P;-7287.0;191526.56
2026-06-12;INCOMING WIRE - MEMBER CONTRIBUTION;8497.0;200023.56
2026-06-13;DEPOSIT BROCKMAN  HALE INV-2218;16779.0;216802.56
2026-06-15;PAYROLL ACH BATCH;-52336.0;164466.56
2026-06-22;CHECK #1012 MERIDIAN LEGAL;-8079.0;156387.56
2026-06-22;CHECK #1015 BRIGHT HARBO;-8744.22;147643.34
2026-06-23;CHECK #1016 CLOUDSPAN HO;-2796.0;144847.34
2026-06-27;SERVICE FEE;-50.41;144796.93
2026-06-30;ENDING BALANCE;;144796.93
