txn_date,details,amount,balance
31-May-2026,OPENING BALANCE,,281513.81
06-Jun-2026,CHECK #1010 HARBORSTONE REALTY,-6146.0,275367.81
06-Jun-2026,DEPOSIT IVYWOOD ENTERPRISES INV-2231,5939.0,281306.81
11-Jun-2026,DEPOSIT FERRELL INDUSTRIES INV-2232,6364.0,287670.81
12-Jun-2026,INCOMING WIRE - MEMBER CONTRIBUTION,18560.0,306230.81
15-Jun-2026,CHECK #1012 KITE DIGITAL,-7448.94,298781.87
15-Jun-2026,PAYROLL ACH BATCH,-36558.0,262223.87
16-Jun-2026,CHECK #1011 DELTA FACILITY,-2160.0,260063.87
16-Jun-2026,DEPOSIT IVYWOOD ENTE INV-2229,11945.0,272008.87
22-Jun-2026,CHECK #1016 KITE DIGITAL,-4084.0,267924.87
25-Jun-2026,CHECK #1015 TRELLIS MARKETING,-4425.0,263499.87
27-Jun-2026,SERVICE FEE,-33.49,263466.38
28-Jun-2026,PAYROLL ACH BATCH,-36418.0,227048.38
28-Jun-2026,WIRE FEE,-40.56,227007.82
30-Jun-2026,ENDING BALANCE,,227007.82
