txn_date,gl_account,dr,Credit,description
01-Apr-2026,1000 Cash,319206.85,,Opening balances
01-Apr-2026,1300 Prepaid Insurance,738.0,,Opening balances
01-Apr-2026,1500 Equipment,113398.0,,Opening balances
01-Apr-2026,1590 Accumulated Depreciation,,32129.32,Opening balances
01-Apr-2026,2000 Accounts Payable,,21040.08,Opening balances
01-Apr-2026,3000 Retained Earnings,,380173.45,Opening balances
02-Apr-2026,1100 Accounts Receivable,19832.0,,Invoice INV-2225 - Corliss Marine
02-Apr-2026,4000 Consulting Revenue,,19832.0,Invoice INV-2225 - Corliss Marine
03-Apr-2026,1100 Accounts Receivable,12758.0,,Invoice INV-2223 - Ivywood Enterprises
03-Apr-2026,4100 Retainer Revenue,,12758.0,Invoice INV-2223 - Ivywood Enterprises
03-Apr-2026,1000 Cash,,6146.0,Rent - Harborstone Realty Partners
03-Apr-2026,6100 Rent Expense,6146.0,,Rent - Harborstone Realty Partners
03-Apr-2026,2000 Accounts Payable,,351.0,BILL-3106 Meridian Legal LLP
03-Apr-2026,6600 Professional Fees,351.0,,BILL-3106 Meridian Legal LLP
03-Apr-2026,2000 Accounts Payable,,898.0,BILL-3108 Stanton Cleaning Crew
03-Apr-2026,6700 Office Supplies,898.0,,BILL-3108 Stanton Cleaning Crew
06-Apr-2026,1000 Cash,,10520.04,Payment on account - opening payables
06-Apr-2026,2000 Accounts Payable,10520.04,,Payment on account - opening payables
07-Apr-2026,1000 Cash,,898.0,Pay BILL-3108 Stanton Cleaning Crew CHK#1003
07-Apr-2026,2000 Accounts Payable,898.0,,Pay BILL-3108 Stanton Cleaning Crew CHK#1003
08-Apr-2026,2000 Accounts Payable,,3664.0,BILL-3107 Lumen Office Supply
08-Apr-2026,6700 Office Supplies,3664.0,,BILL-3107 Lumen Office Supply
12-Apr-2026,2000 Accounts Payable,,2921.0,BILL-3109 Pillar Accounting Services
12-Apr-2026,6600 Professional Fees,2921.0,,BILL-3109 Pillar Accounting Services
15-Apr-2026,1000 Cash,,22584.0,Payroll 2026-04/01-04/15
15-Apr-2026,2300 Payroll Liabilities,,6369.0,Payroll 2026-04/01-04/15
15-Apr-2026,6000 Salaries Expense,28953.0,,Payroll 2026-04/01-04/15
16-Apr-2026,1000 Cash,12758.0,,Deposit - Ivywood Enterprises INV-2223
16-Apr-2026,1100 Accounts Receivable,,12758.0,Deposit - Ivywood Enterprises INV-2223
17-Apr-2026,1100 Accounts Receivable,12810.0,,Invoice INV-2222 - Underhill Logistics
17-Apr-2026,4100 Retainer Revenue,,12810.0,Invoice INV-2222 - Underhill Logistics
17-Apr-2026,1100 Accounts Receivable,6299.0,,Invoice INV-2227 - Underhill Logistics
17-Apr-2026,4100 Retainer Revenue,,6299.0,Invoice INV-2227 - Underhill Logistics
17-Apr-2026,1000 Cash,,3664.0,Pay BILL-3107 Lumen Office Supply CHK#1004
17-Apr-2026,2000 Accounts Payable,3664.0,,Pay BILL-3107 Lumen Office Supply CHK#1004
17-Apr-2026,2000 Accounts Payable,,5003.0,BILL-3110 Meridian Legal LLP
17-Apr-2026,6600 Professional Fees,5003.0,,BILL-3110 Meridian Legal LLP
18-Apr-2026,1100 Accounts Receivable,24540.0,,Invoice INV-2226 - Wexford Group
18-Apr-2026,4100 Retainer Revenue,,24540.0,Invoice INV-2226 - Wexford Group
21-Apr-2026,1000 Cash,,2921.0,Pay BILL-3109 Pillar Accounting Services CHK#1005
21-Apr-2026,2000 Accounts Payable,2921.0,,Pay BILL-3109 Pillar Accounting Services CHK#1005
22-Apr-2026,1000 Cash,,5003.0,Pay BILL-3110 Meridian Legal LLP CHK#1006
22-Apr-2026,2000 Accounts Payable,5003.0,,Pay BILL-3110 Meridian Legal LLP CHK#1006
23-Apr-2026,1100 Accounts Receivable,7381.0,,Invoice INV-2224 - Jasper Analytics
23-Apr-2026,4000 Consulting Revenue,,7381.0,Invoice INV-2224 - Jasper Analytics
25-Apr-2026,1000 Cash,19832.0,,Deposit - Corliss Marine INV-2225
25-Apr-2026,1100 Accounts Receivable,,19832.0,Deposit - Corliss Marine INV-2225
28-Apr-2026,1000 Cash,,22740.0,Payroll 2026-04/16-04/30
28-Apr-2026,2300 Payroll Liabilities,,6413.0,Payroll 2026-04/16-04/30
28-Apr-2026,6000 Salaries Expense,29153.0,,Payroll 2026-04/16-04/30
28-Apr-2026,1300 Prepaid Insurance,,82.0,Monthly insurance amortization
