posting_date,description,Amount,balance
31-May-2026,OPENING BALANCE,,241172.56
06-Jun-2026,CHECK #1011 HARBORSTONE,-5939.0,235233.56
06-Jun-2026,DEPOSIT UNDERHILL LO INV-2231,14837.0,250070.56
12-Jun-2026,INCOMING WIRE - MEMBER CONTRIBUTION,11823.0,261893.56
13-Jun-2026,DEPOSIT ALDERGATE IN,28677.0,290570.56
15-Jun-2026,PAYROLL ACH BATCH,-40945.0,249625.56
16-Jun-2026,DEPOSIT VESPER TECHNOLOGIES,27415.0,277040.56
19-Jun-2026,DEPOSIT NORDICA LABS INV-2235,7457.0,284497.56
27-Jun-2026,SERVICE FEE,-32.89,284464.67
28-Jun-2026,WIRE FEE,-54.32,284410.35
30-Jun-2026,INTEREST CREDIT,10.89,284421.24
30-Jun-2026,ENDING BALANCE,,284421.24
