posting_date,details,amt,balance
05/31/2026,OPENING BALANCE,,283783.98
06/06/2026,CHECK #1010 HARBORSTONE REALTY,-4399.0,279384.98
06/12/2026,INCOMING WIRE - MEMBER CONTRIBUTION,19022.0,298406.98
06/13/2026,DEPOSIT MARLOWE  FIN INV-2249,21018.0,319424.98
06/14/2026,CHECK #1011 UPTOWN CATERING,-3351.0,316073.98
06/15/2026,PAYROLL ACH BATCH,-22501.0,293572.98
06/18/2026,DEPOSIT IVYWOOD ENTERPRISES INV-2251,6393.0,299965.98
06/26/2026,CHECK #1013 MERIDIX CLINICAL,-3242.0,296723.98
06/27/2026,DEPOSIT MARLOWE  FINCH,24383.0,321106.98
06/27/2026,SERVICE FEE,-33.88,321073.1
06/28/2026,WIRE FEE,-55.11,321017.99
06/30/2026,INTEREST CREDIT,29.71,321047.7
06/30/2026,ENDING BALANCE,,321047.7
