posting_date,account,Debit,credit,description
04/01/2026,1000 Cash,281471.96,,Opening balances
04/01/2026,1300 Prepaid Insurance,1683.0,,Opening balances
04/01/2026,1500 Equipment,95626.0,,Opening balances
04/01/2026,1590 Accumulated Depreciation,,12750.08,Opening balances
04/01/2026,2000 Accounts Payable,,26845.96,Opening balances
04/01/2026,3000 Retained Earnings,,339184.92,Opening balances
04/02/2026,1100 Accounts Receivable,17045.0,,Invoice INV-2245 - Pinehurst Digital
04/02/2026,4000 Patient Service Revenue,,17045.0,Invoice INV-2245 - Pinehurst Digital
04/02/2026,1100 Accounts Receivable,17982.0,,Invoice INV-2246 - Marlowe & Finch
04/02/2026,4000 Patient Service Revenue,,17982.0,Invoice INV-2246 - Marlowe & Finch
04/03/2026,1000 Cash,,4399.0,Rent - Harborstone Realty Partners
04/03/2026,6100 Rent Expense,4399.0,,Rent - Harborstone Realty Partners
04/05/2026,2000 Accounts Payable,,5351.0,BILL-3131 CloudSpan Hosting
04/05/2026,6450 Software Expense,5351.0,,BILL-3131 CloudSpan Hosting
04/06/2026,1000 Cash,,13422.98,Payment on account - opening payables
04/06/2026,2000 Accounts Payable,13422.98,,Payment on account - opening payables
04/07/2026,1100 Accounts Receivable,24190.0,,Invoice INV-2242 - Hartwell Group
04/07/2026,4000 Patient Service Revenue,,24190.0,Invoice INV-2242 - Hartwell Group
04/08/2026,1000 Cash,,5351.0,Pay BILL-3131 CloudSpan Hosting CHK#1003
04/08/2026,2000 Accounts Payable,5351.0,,Pay BILL-3131 CloudSpan Hosting CHK#1003
04/10/2026,2000 Accounts Payable,,2552.0,BILL-3130 Kite Digital Ads
04/10/2026,6200 Advertising & Marketing,2552.0,,BILL-3130 Kite Digital Ads
04/11/2026,2000 Accounts Payable,,5699.0,BILL-3133 Bright Harbor Media
04/11/2026,6200 Advertising & Marketing,5699.0,,BILL-3133 Bright Harbor Media
04/12/2026,1100 Accounts Receivable,21385.0,,Invoice INV-2241 - Yardley Supply
04/12/2026,4000 Patient Service Revenue,,21385.0,Invoice INV-2241 - Yardley Supply
04/14/2026,2000 Accounts Payable,,612.0,BILL-3129 Uptown Catering Co.
04/14/2026,6700 Office Supplies,612.0,,BILL-3129 Uptown Catering Co.
04/14/2026,2000 Accounts Payable,,2127.0,BILL-3132 Helix IT Solutions
04/14/2026,6450 Software Expense,2127.0,,BILL-3132 Helix IT Solutions
04/15/2026,1100 Accounts Receivable,21057.0,,Invoice INV-2243 - Yardley Supply
04/15/2026,4000 Patient Service Revenue,,21057.0,Invoice INV-2243 - Yardley Supply
04/15/2026,1000 Cash,,23868.0,Payroll 2026-04/01-04/15
04/15/2026,2300 Payroll Liabilities,,6732.0,Payroll 2026-04/01-04/15
04/15/2026,6000 Salaries Expense,30600.0,,Payroll 2026-04/01-04/15
04/17/2026,1000 Cash,17982.0,,Deposit - Marlowe & Finch INV-2246
04/17/2026,1100 Accounts Receivable,,17982.0,Deposit - Marlowe & Finch INV-2246
04/18/2026,1000 Cash,,5699.0,Pay BILL-3133 Bright Harbor Media CHK#1004
04/18/2026,2000 Accounts Payable,5699.0,,Pay BILL-3133 Bright Harbor Media CHK#1004
04/19/2026,1000 Cash,,612.0,Pay BILL-3129 Uptown Catering Co. CHK#1005
