posting_date,details,Amount,balance
05/31/2026,OPENING BALANCE,,439358.56
06/02/2026,DEPOSIT CORLISS MARI,7318.0,446676.56
06/06/2026,DEPOSIT GLENROCK SOLUTIONS,40186.0,486862.56
06/09/2026,CHECK #1011 HARBORSTONE REALTY,-8971.0,477891.56
06/12/2026,INCOMING WIRE - MEMBER CONTRIBUTION,12639.0,490530.56
06/14/2026,DEPOSIT QUIMBY VENTU INV-2244,42042.0,532572.56
06/15/2026,DEPOSIT CORLISS MARINE INV-2234,14603.0,547175.56
06/15/2026,PAYROLL ACH BATCH,-35591.0,511584.56
06/23/2026,CHECK #1013 KITE DIGITAL,-20977.36,490607.2
06/27/2026,SERVICE FEE,-31.0,490576.2
06/28/2026,WIRE FEE,-31.0,490545.2
06/30/2026,ENDING BALANCE,,490545.2
