Date,details,amt,balance
31-May-2026,OPENING BALANCE,,177461.01
08-Jun-2026,CHECK #1007 AMBERFIELD PROPERTY,-9462.0,167999.01
10-Jun-2026,DEPOSIT ATLAS VERDE INV-2232,5485.0,173484.01
10-Jun-2026,DEPOSIT OSTRANDER CO INV-2231,27140.0,200624.01
12-Jun-2026,INCOMING WIRE - MEMBER CONTRIBUTION,17847.0,218471.01
15-Jun-2026,PAYROLL ACH BATCH,-29590.0,188881.01
17-Jun-2026,CHECK #1012 MERIDIAN LEGAL,-3200.0,185681.01
18-Jun-2026,CHECK #1009 CLEARBYTE CLOUD,-1978.0,183703.01
22-Jun-2026,CHECK #1010 PILLAR ACCOUNTING,-15120.56,168582.45
27-Jun-2026,SERVICE FEE,-41.25,168541.2
28-Jun-2026,WIRE FEE,-57.04,168484.16
30-Jun-2026,INTEREST CREDIT,36.69,168520.85
30-Jun-2026,ENDING BALANCE,,168520.85
