Date,Account,dr,credit,description
01-Apr-2026,1000 Cash,251412.28,,Opening balances
01-Apr-2026,1300 Prepaid Insurance,1701.0,,Opening balances
01-Apr-2026,1500 Equipment,106337.0,,Opening balances
01-Apr-2026,1590 Accumulated Depreciation,,21267.36,Opening balances
01-Apr-2026,2000 Accounts Payable,,56718.54,Opening balances
01-Apr-2026,3000 Retained Earnings,,281464.38,Opening balances
03-Apr-2026,1000 Cash,,9462.0,Rent - Amberfield Property Group
03-Apr-2026,6100 Rent Expense,9462.0,,Rent - Amberfield Property Group
04-Apr-2026,1100 Accounts Receivable,22271.0,,Invoice INV-2228 - Jasper Analytics
04-Apr-2026,4100 Professional Services Revenue,,22271.0,Invoice INV-2228 - Jasper Analytics
06-Apr-2026,1000 Cash,,28359.27,Payment on account - opening payables
06-Apr-2026,2000 Accounts Payable,28359.27,,Payment on account - opening payables
07-Apr-2026,1100 Accounts Receivable,25391.0,,Invoice INV-2225 - Quimby Ventures
07-Apr-2026,4000 Subscription Revenue,,25391.0,Invoice INV-2225 - Quimby Ventures
07-Apr-2026,2000 Accounts Payable,,4137.0,BILL-3135 Junction Utility Co-op
07-Apr-2026,6500 Utilities Expense,4137.0,,BILL-3135 Junction Utility Co-op
08-Apr-2026,1100 Accounts Receivable,28378.0,,Invoice INV-2230 - Quimby Ventures
08-Apr-2026,4000 Subscription Revenue,,28378.0,Invoice INV-2230 - Quimby Ventures
09-Apr-2026,1100 Accounts Receivable,21656.0,,Invoice INV-2227 - Atlas Verde LLC
09-Apr-2026,4100 Professional Services Revenue,,21656.0,Invoice INV-2227 - Atlas Verde LLC
09-Apr-2026,2000 Accounts Payable,,2766.0,BILL-3130 Trellis Marketing Group
09-Apr-2026,6200 Advertising & Marketing,2766.0,,BILL-3130 Trellis Marketing Group
15-Apr-2026,2000 Accounts Payable,,895.0,BILL-3134 Clearbyte Cloud Services
15-Apr-2026,6300 Software Subscriptions,895.0,,BILL-3134 Clearbyte Cloud Services
15-Apr-2026,1000 Cash,,40335.0,Payroll 2026-04/01-04/15
