date;description;amt;balance
2026-05-31;OPENING BALANCE;;217689.35
2026-06-02;DEPOSIT QUIMBY VENTURES;19160.0;236849.35
2026-06-06;CHECK #1010 GRANDVIEW PROPERTIES;-5205.0;231644.35
2026-06-08;CHECK #1019 ORCHARD SOFT;-372.0;231272.35
2026-06-12;INCOMING WIRE - MEMBER CONTRIBUTION;18594.0;249866.35
2026-06-14;CHECK #1015 PILLAR ACCOU;-5050.55;244815.8
2026-06-15;PAYROLL ACH BATCH;-19723.0;225092.8
2026-06-18;DEPOSIT TAMARACK HEA INV-2214;22241.0;247333.8
2026-06-19;CHECK #1013 KITE DIGITAL;-7660.63;239673.17
2026-06-19;CHECK #1014 PILLAR ACCOUNTING;-4533.0;235140.17
2026-06-20;DEPOSIT LONGMONT SYS;6388.0;241528.17
2026-06-20;DEPOSIT QUIMBY VENTU INV-2213;9732.0;251260.17
2026-06-27;SERVICE FEE;-39.23;251220.94
2026-06-28;CHECK #1018 WILLOW CREEK;-6423.52;244797.42
2026-06-28;WIRE FEE;-37.77;244759.65
2026-06-30;INTEREST CREDIT;16.72;244776.37
2026-06-30;ENDING BALANCE;;244776.37
