date;Account;Debit;cr;memo
2026-04-01;1000 Cash;204848.49;;Opening balances
2026-04-01;1300 Prepaid Insurance;1134.0;;Opening balances
2026-04-01;1400 Inventory;54145.35;;Opening balances
2026-04-01;1500 Equipment;71683.0;;Opening balances
2026-04-01;1590 Accumulated Depreciation;;20310.07;Opening balances
2026-04-01;2000 Accounts Payable;;16120.29;Opening balances
2026-04-01;3000 Retained Earnings;;295380.48;Opening balances
2026-04-03;1000 Cash;;5205.0;Rent - Grandview Properties LLC
2026-04-03;6100 Rent Expense;5205.0;;Rent - Grandview Properties LLC
2026-04-03;2000 Accounts Payable;;2219.0;BILL-3142 Delta Facility Services
2026-04-03;6700 Office Supplies;2219.0;;BILL-3142 Delta Facility Services
2026-04-04;1100 Accounts Receivable;9380.0;;Invoice INV-2204 - Brockman & Hale
2026-04-04;4000 Product Sales;;9380.0;Invoice INV-2204 - Brockman & Hale
2026-04-04;1400 Inventory;;4847.0;COGS - INV-2204
2026-04-04;5000 Cost of Goods Sold;4847.0;;COGS - INV-2204
2026-04-05;1100 Accounts Receivable;12883.0;;Invoice INV-2203 - Tamarack Health
2026-04-05;4000 Product Sales;;12883.0;Invoice INV-2203 - Tamarack Health
2026-04-05;1400 Inventory;;5931.0;COGS - INV-2203
2026-04-05;5000 Cost of Goods Sold;5931.0;;COGS - INV-2203
2026-04-05;1100 Accounts Receivable;15525.0;;Invoice INV-2207 - Corliss Marine
2026-04-05;4000 Product Sales;;15525.0;Invoice INV-2207 - Corliss Marine
2026-04-05;1400 Inventory;;7109.0;COGS - INV-2207
2026-04-05;5000 Cost of Goods Sold;7109.0;;COGS - INV-2207
2026-04-06;1000 Cash;;8060.14;Payment on account - opening payables
2026-04-06;2000 Accounts Payable;8060.14;;Payment on account - opening payables
2026-04-06;1100 Accounts Receivable;22385.0;;Invoice INV-2206 - Corliss Marine
2026-04-06;4000 Product Sales;;22385.0;Invoice INV-2206 - Corliss Marine
2026-04-06;1400 Inventory;;9513.0;COGS - INV-2206
2026-04-06;5000 Cost of Goods Sold;9513.0;;COGS - INV-2206
2026-04-06;2000 Accounts Payable;;1079.0;BILL-3144 Junction Utility Co-op
2026-04-06;6500 Utilities Expense;1079.0;;BILL-3144 Junction Utility Co-op
2026-04-07;2000 Accounts Payable;;2603.0;BILL-3141 Pillar Accounting Services
2026-04-07;6600 Professional Fees;2603.0;;BILL-3141 Pillar Accounting Services
2026-04-09;2000 Accounts Payable;;499.0;BILL-3140 Junction Utility Co-op
2026-04-09;6500 Utilities Expense;499.0;;BILL-3140 Junction Utility Co-op
2026-04-12;1000 Cash;;2219.0;Pay BILL-3142 Delta Facility Services CHK#1003
2026-04-12;2000 Accounts Payable;2219.0;;Pay BILL-3142 Delta Facility Services CHK#1003
2026-04-12;1000 Cash;;1079.0;Pay BILL-3144 Junction Utility Co-op CHK#1004
2026-04-12;2000 Accounts Payable;1079.0;;Pay BILL-3144 Junction Utility Co-op CHK#1004
2026-04-15;1100 Accounts Receivable;12675.0;;Invoice INV-2208 - Brockman & Hale
2026-04-15;4000 Product Sales;;12675.0;Invoice INV-2208 - Brockman & Hale
2026-04-15;1400 Inventory;;6068.0;COGS - INV-2208
2026-04-15;5000 Cost of Goods Sold;6068.0;;COGS - INV-2208
2026-04-15;1000 Cash;;2603.0;Pay BILL-3141 Pillar Accounting Services CHK#1005
2026-04-15;2000 Accounts Payable;2603.0;;Pay BILL-3141 Pillar Accounting Services CHK#1005
2026-04-15;1000 Cash;;16122.0;Payroll 2026-04/01-04/15
2026-04-15;2300 Payroll Liabilities;;4547.0;Payroll 2026-04/01-04/15
2026-04-15;6000 Salaries Expense;20669.0;;Payroll 2026-04/01-04/15
2026-04-17;1100 Accounts Receivable;16731.0;;Invoice INV-2209 - Quimby Ventures
2026-04-17;4000 Product Sales;;16731.0;Invoice INV-2209 - Quimby Ventures
2026-04-17;1400 Inventory;;9580.0;COGS - INV-2209
2026-04-17;5000 Cost of Goods Sold;9580.0;;COGS - INV-2209
2026-04-19;1100 Accounts Receivable;11938.0;;Invoice INV-2205 - Zephyr Dynamics
2026-04-19;4000 Product Sales;;11938.0;Invoice INV-2205 - Zephyr Dynamics
2026-04-19;1400 Inventory;;5942.0;COGS - INV-2205
2026-04-19;5000 Cost of Goods Sold;5942.0;;COGS - INV-2205
2026-04-20;2000 Accounts Payable;;4638.0;BILL-3143 Meridian Legal LLP
2026-04-20;6600 Professional Fees;4638.0;;BILL-3143 Meridian Legal LLP
2026-04-28;1000 Cash;15525.0;;Deposit - Corliss Marine INV-2207
2026-04-28;1100 Accounts Receivable;;15525.0;Deposit - Corliss Marine INV-2207
2026-04-28;1000 Cash;;16083.0;Payroll 2026-04/16-04/30
2026-04-28;2300 Payroll Liabilities;;4536.0;Payroll 2026-04/16-04/30
2026-04-28;6000 Salaries Expense;20619.0;;Payroll 2026-04/16-04/30
2026-04-28;1300 Prepaid Insurance;;126.0;Monthly insurance amortization
2026-04-28;6400 Insurance Expense;126.0;;Monthly insurance amortization
2026-04-28;1590 Accumulated Depreciation;;1194.71;Monthly depreciation
2026-04-28;6800 Depreciation Expense;1194.71;;Monthly depreciation
2026-05-01;1000 Cash;9380.0;;Deposit - Brockman & Hale INV-2204
2026-05-01;1100 Accounts Receivable;;9380.0;Deposit - Brockman & Hale INV-2204
2026-05-03;1100 Accounts Receivable;19160.0;;Invoice INV-2216 - Quimby Ventures
