Date;transaction_description;amt;balance
05/31/2026;OPENING BALANCE;;159325.49
06/02/2026;DEPOSIT WEXFORD GROUP;17799.0;177124.49
06/07/2026;CHECK #1009 HARBORSTONE REALTY;-8876.0;168248.49
06/08/2026;CHECK #1016 ORCHARD SOFT;-288.0;167960.49
06/12/2026;CHECK #1010 FIRSTLANE LOGISTICS;-1197.0;166763.49
06/12/2026;INCOMING WIRE - MEMBER CONTRIBUTION;9082.0;175845.49
06/15/2026;PAYROLL ACH BATCH;-59295.0;116550.49
06/21/2026;CHECK #1011 KITE DIGITAL;-23258.06;93292.43
06/27/2026;SERVICE FEE;-29.02;93263.41
06/28/2026;WIRE FEE;-49.95;93213.46
06/30/2026;INTEREST CREDIT;16.39;93229.85
06/30/2026;ENDING BALANCE;;93229.85
