Date,description,Amount,balance
05/31/2026,OPENING BALANCE,,182616.9
06/02/2026,DEPOSIT FERRELL INDUSTRIES INV-2212,21670.0,204286.9
06/06/2026,DEPOSIT YARDLEY SUPP,23294.0,227580.9
06/09/2026,CHECK #1013 AMBERFIELD PROPERTY,-5835.0,221745.9
06/12/2026,INCOMING WIRE - MEMBER CONTRIBUTION,9073.0,230818.9
06/13/2026,DEPOSIT EASTGATE COLLECTIVE INV-2215,22732.0,253550.9
06/15/2026,DEPOSIT FERRELL INDU,17133.0,270683.9
06/15/2026,PAYROLL ACH BATCH,-40853.0,229830.9
06/16/2026,CHECK #1014 TRELLIS MARKETING,-1046.0,228784.9
06/19/2026,DEPOSIT EASTGATE COLLECTIVE INV-2218,20633.0,249417.9
06/24/2026,CHECK #1017 LUMEN OFFICE,-1488.0,247929.9
06/25/2026,CHECK #1019 PILLAR ACCOUNTING,-5971.0,241958.9
06/27/2026,SERVICE FEE,-49.88,241909.02
06/30/2026,INTEREST CREDIT,17.31,241926.33
06/30/2026,ENDING BALANCE,,241926.33
