Date;transaction_description;Amount;balance
05/31/2026;OPENING BALANCE;;260951.42
06/04/2026;DEPOSIT FERRELL INDUSTRIES INV-2243;10994.0;271945.42
06/05/2026;DEPOSIT HARTWELL GRO INV-2241;23981.0;295926.42
06/06/2026;CHECK #1008 GRANDVIEW PROPERTIES;-9469.0;286457.42
06/06/2026;DEPOSIT HARTWELL GROUP;26067.0;312524.42
06/08/2026;CHECK #1016 BYTEFIELD SYSTEMS;-1056.0;311468.42
06/12/2026;INCOMING WIRE - MEMBER CONTRIBUTION;15438.0;326906.42
06/15/2026;PAYROLL ACH BATCH;-45745.0;281161.42
06/18/2026;CHECK #1009 TRELLIS MARKETING;-5798.0;275363.42
06/20/2026;CHECK #1011 HELIX IT;-7036.0;268327.42
06/21/2026;DEPOSIT ROSEWOOD RETAIL INV-2242;22822.0;291149.42
06/22/2026;CHECK #1010 MERIDIAN LEGAL;-2637.0;288512.42
06/22/2026;DEPOSIT BIRCHFIELD F INV-2245;8092.0;296604.42
06/27/2026;SERVICE FEE;-30.61;296573.81
06/28/2026;CHECK #1015 UPTOWN CATERING;-6915.0;289658.81
06/30/2026;INTEREST CREDIT;31.12;289689.93
06/30/2026;ENDING BALANCE;;289689.93
