Date;gl_account;dr;Credit;Memo
04/01/2026;1000 Cash;342231.96;;Opening balances
04/01/2026;1300 Prepaid Insurance;1287.0;;Opening balances
04/01/2026;1500 Equipment;123560.0;;Opening balances
04/01/2026;1590 Accumulated Depreciation;;20593.3;Opening balances
04/01/2026;2000 Accounts Payable;;39859.08;Opening balances
04/01/2026;3000 Retained Earnings;;406626.58;Opening balances
04/02/2026;1100 Accounts Receivable;13813.0;;Invoice INV-2237 - Nordica Labs
04/02/2026;4000 Subscription Revenue;;13813.0;Invoice INV-2237 - Nordica Labs
04/03/2026;1000 Cash;;9469.0;Rent - Grandview Properties LLC
04/03/2026;6100 Rent Expense;9469.0;;Rent - Grandview Properties LLC
04/06/2026;1000 Cash;;19929.54;Payment on account - opening payables
04/06/2026;2000 Accounts Payable;19929.54;;Payment on account - opening payables
04/06/2026;2000 Accounts Payable;;642.0;BILL-3120 Meridian Legal LLP
04/06/2026;6600 Professional Fees;642.0;;BILL-3120 Meridian Legal LLP
04/07/2026;1100 Accounts Receivable;6068.0;;Invoice INV-2234 - Rosewood Retail
04/07/2026;4100 Professional Services Revenue;;6068.0;Invoice INV-2234 - Rosewood Retail
04/07/2026;1100 Accounts Receivable;27835.0;;Invoice INV-2235 - Hartwell Group
04/07/2026;4000 Subscription Revenue;;27835.0;Invoice INV-2235 - Hartwell Group
04/11/2026;1100 Accounts Receivable;17893.0;;Invoice INV-2233 - Ferrell Industries
04/11/2026;4100 Professional Services Revenue;;17893.0;Invoice INV-2233 - Ferrell Industries
04/12/2026;1100 Accounts Receivable;12238.0;;Invoice INV-2236 - Dunmore Holdings
04/12/2026;4000 Subscription Revenue;;12238.0;Invoice INV-2236 - Dunmore Holdings
04/13/2026;1000 Cash;;642.0;Pay BILL-3120 Meridian Legal LLP CHK#1003
04/13/2026;2000 Accounts Payable;642.0;;Pay BILL-3120 Meridian Legal LLP CHK#1003
04/15/2026;2000 Accounts Payable;;1797.0;BILL-3116 Trellis Marketing Group
04/15/2026;6200 Advertising & Marketing;1797.0;;BILL-3116 Trellis Marketing Group
04/15/2026;1000 Cash;;24670.0;Payroll 2026-04/01-04/15
04/15/2026;2300 Payroll Liabilities;;6957.0;Payroll 2026-04/01-04/15
04/15/2026;6000 Salaries Expense;31627.0;;Payroll 2026-04/01-04/15
04/17/2026;1100 Accounts Receivable;19147.0;;Invoice INV-2238 - Rosewood Retail
04/17/2026;4000 Subscription Revenue;;19147.0;Invoice INV-2238 - Rosewood Retail
04/21/2026;2000 Accounts Payable;;3800.0;BILL-3115 Stackline SaaS Tools
04/21/2026;6300 Software Subscriptions;3800.0;;BILL-3115 Stackline SaaS Tools
04/21/2026;2000 Accounts Payable;;2744.0;BILL-3118 Junction Utility Co-op
04/21/2026;6500 Utilities Expense;2744.0;;BILL-3118 Junction Utility Co-op
04/21/2026;2000 Accounts Payable;;6310.0;BILL-3119 Delta Facility Services
04/21/2026;6700 Office Supplies;6310.0;;BILL-3119 Delta Facility Services
04/22/2026;1100 Accounts Receivable;26067.0;;Invoice INV-2239 - Hartwell Group
04/22/2026;4100 Professional Services Revenue;;26067.0;Invoice INV-2239 - Hartwell Group
04/22/2026;2000 Accounts Payable;;7403.0;BILL-3117 Helix IT Solutions
04/22/2026;6450 Software Expense;7403.0;;BILL-3117 Helix IT Solutions
04/23/2026;1000 Cash;13813.0;;Deposit - Nordica Labs INV-2237
04/23/2026;1100 Accounts Receivable;;13813.0;Deposit - Nordica Labs INV-2237
04/28/2026;1000 Cash;;3800.0;Pay BILL-3115 Stackline SaaS Tools CHK#1004
