posting_date;description;amount;balance
31-May-2026;OPENING BALANCE;;457783.62
06-Jun-2026;CHECK #1008 HARBORSTONE REALTY;-14305.0;443478.62
08-Jun-2026;CHECK #1017 QUILLWARE TECHNOLOGIES;-1128.0;442350.62
08-Jun-2026;DEPOSIT ROSEWOOD RETAIL INV-2227;28435.0;470785.62
10-Jun-2026;CHECK #1009 RIDGELINE TELECOM;-9972.0;460813.62
12-Jun-2026;INCOMING WIRE - MEMBER CONTRIBUTION;10642.0;471455.62
15-Jun-2026;PAYROLL ACH BATCH;-44215.0;427240.62
18-Jun-2026;DEPOSIT DUNMORE HOLD;20347.0;447587.62
19-Jun-2026;CHECK #1011 CLOUDSPAN HOSTING;-1626.0;445961.62
21-Jun-2026;CHECK #1012 MERIDIAN LEG;-7505.0;438456.62
21-Jun-2026;DEPOSIT WEXFORD GROUP;23554.0;462010.62
26-Jun-2026;CHECK #1016 BRIGHT HARBOR;-4608.0;457402.62
27-Jun-2026;CHECK #1015 TRELLIS MARK;-25457.38;431945.24
27-Jun-2026;SERVICE FEE;-58.78;431886.46
28-Jun-2026;WIRE FEE;-43.78;431842.68
30-Jun-2026;INTEREST CREDIT;19.39;431862.07
30-Jun-2026;ENDING BALANCE;;431862.07
