posting_date;gl_account;debit;cr;description
01-Apr-2026;1000 Cash;524543.19;;Opening balances
01-Apr-2026;1300 Prepaid Insurance;765.0;;Opening balances
01-Apr-2026;1400 Inventory;100998.67;;Opening balances
01-Apr-2026;1500 Equipment;98003.0;;Opening balances
01-Apr-2026;1590 Accumulated Depreciation;;31034.22;Opening balances
01-Apr-2026;2000 Accounts Payable;;34609.15;Opening balances
01-Apr-2026;3000 Retained Earnings;;658666.49;Opening balances
03-Apr-2026;1000 Cash;;14305.0;Rent - Harborstone Realty Partners
03-Apr-2026;6100 Rent Expense;14305.0;;Rent - Harborstone Realty Partners
06-Apr-2026;1000 Cash;;17304.57;Payment on account - opening payables
06-Apr-2026;2000 Accounts Payable;17304.57;;Payment on account - opening payables
07-Apr-2026;1100 Accounts Receivable;13130.0;;Invoice INV-2220 - Dunmore Holdings
07-Apr-2026;4000 Product Sales;;13130.0;Invoice INV-2220 - Dunmore Holdings
07-Apr-2026;1400 Inventory;;5556.0;COGS - INV-2220
07-Apr-2026;5000 Cost of Goods Sold;5556.0;;COGS - INV-2220
08-Apr-2026;2000 Accounts Payable;;11010.0;BILL-3130 Willow Creek Packaging
08-Apr-2026;5100 Freight & Shipping;11010.0;;BILL-3130 Willow Creek Packaging
10-Apr-2026;1100 Accounts Receivable;40259.0;;Invoice INV-2219 - Vesper Technologies
10-Apr-2026;4000 Product Sales;;40259.0;Invoice INV-2219 - Vesper Technologies
10-Apr-2026;1400 Inventory;;22813.0;COGS - INV-2219
10-Apr-2026;5000 Cost of Goods Sold;22813.0;;COGS - INV-2219
10-Apr-2026;1100 Accounts Receivable;9419.0;;Invoice INV-2222 - Ivywood Enterprises
10-Apr-2026;4000 Product Sales;;9419.0;Invoice INV-2222 - Ivywood Enterprises
10-Apr-2026;1400 Inventory;;4001.0;COGS - INV-2222
10-Apr-2026;5000 Cost of Goods Sold;4001.0;;COGS - INV-2222
12-Apr-2026;2000 Accounts Payable;;4856.0;BILL-3133 Meridian Legal LLP
12-Apr-2026;6600 Professional Fees;4856.0;;BILL-3133 Meridian Legal LLP
15-Apr-2026;1000 Cash;;11010.0;Pay BILL-3130 Willow Creek Packaging CHK#1003
15-Apr-2026;2000 Accounts Payable;11010.0;;Pay BILL-3130 Willow Creek Packaging CHK#1003
15-Apr-2026;1000 Cash;;35742.0;Payroll 2026-04/01-04/15
15-Apr-2026;2300 Payroll Liabilities;;10080.0;Payroll 2026-04/01-04/15
15-Apr-2026;6000 Salaries Expense;45822.0;;Payroll 2026-04/01-04/15
18-Apr-2026;2000 Accounts Payable;;9150.0;BILL-3131 Trellis Marketing Group
18-Apr-2026;6200 Advertising & Marketing;9150.0;;BILL-3131 Trellis Marketing Group
19-Apr-2026;2000 Accounts Payable;;6254.0;BILL-3132 Delta Facility Services
19-Apr-2026;6700 Office Supplies;6254.0;;BILL-3132 Delta Facility Services
22-Apr-2026;1100 Accounts Receivable;28212.0;;Invoice INV-2218 - Wexford Group
22-Apr-2026;4000 Product Sales;;28212.0;Invoice INV-2218 - Wexford Group
22-Apr-2026;1400 Inventory;;15121.0;COGS - INV-2218
22-Apr-2026;5000 Cost of Goods Sold;15121.0;;COGS - INV-2218
22-Apr-2026;1000 Cash;;9150.0;Pay BILL-3131 Trellis Marketing Group CHK#1004
22-Apr-2026;2000 Accounts Payable;9150.0;;Pay BILL-3131 Trellis Marketing Group CHK#1004
23-Apr-2026;1100 Accounts Receivable;14689.0;;Invoice INV-2221 - Ivywood Enterprises
23-Apr-2026;4100 Shipping Income;;14689.0;Invoice INV-2221 - Ivywood Enterprises
24-Apr-2026;1100 Accounts Receivable;20155.0;;Invoice INV-2217 - Vesper Technologies
24-Apr-2026;4000 Product Sales;;20155.0;Invoice INV-2217 - Vesper Technologies
24-Apr-2026;1400 Inventory;;10527.0;COGS - INV-2217
24-Apr-2026;5000 Cost of Goods Sold;10527.0;;COGS - INV-2217
25-Apr-2026;1000 Cash;9419.0;;Deposit - Ivywood Enterprises INV-2222
25-Apr-2026;1100 Accounts Receivable;;9419.0;Deposit - Ivywood Enterprises INV-2222
27-Apr-2026;1000 Cash;;6254.0;Pay BILL-3132 Delta Facility Services CHK#1005
27-Apr-2026;2000 Accounts Payable;6254.0;;Pay BILL-3132 Delta Facility Services CHK#1005
28-Apr-2026;1000 Cash;;35679.0;Payroll 2026-04/16-04/30
28-Apr-2026;2300 Payroll Liabilities;;10063.0;Payroll 2026-04/16-04/30
28-Apr-2026;6000 Salaries Expense;45742.0;;Payroll 2026-04/16-04/30
28-Apr-2026;1300 Prepaid Insurance;;85.0;Monthly insurance amortization
28-Apr-2026;6400 Insurance Expense;85.0;;Monthly insurance amortization
28-Apr-2026;1590 Accumulated Depreciation;;1633.38;Monthly depreciation
28-Apr-2026;6800 Depreciation Expense;1633.38;;Monthly depreciation
02-May-2026;1000 Cash;13130.0;;Deposit - Dunmore Holdings INV-2220
02-May-2026;1100 Accounts Receivable;;13130.0;Deposit - Dunmore Holdings INV-2220
03-May-2026;1000 Cash;;14305.0;Rent - Harborstone Realty Partners
03-May-2026;6100 Rent Expense;14305.0;;Rent - Harborstone Realty Partners
07-May-2026;2000 Accounts Payable;;1945.0;BILL-3135 Meridian Legal LLP
07-May-2026;6600 Professional Fees;1945.0;;BILL-3135 Meridian Legal LLP
07-May-2026;2000 Accounts Payable;;9118.0;BILL-3136 Kite Digital Ads
07-May-2026;6200 Advertising & Marketing;9118.0;;BILL-3136 Kite Digital Ads
08-May-2026;1100 Accounts Receivable;35550.0;;Invoice INV-2225 - Birchfield Foods
08-May-2026;4000 Product Sales;;35550.0;Invoice INV-2225 - Birchfield Foods
08-May-2026;1400 Inventory;;17823.0;COGS - INV-2225
08-May-2026;5000 Cost of Goods Sold;17823.0;;COGS - INV-2225
10-May-2026;1100 Accounts Receivable;48043.0;;Invoice INV-2223 - Dunmore Holdings
10-May-2026;4000 Product Sales;;48043.0;Invoice INV-2223 - Dunmore Holdings
10-May-2026;1400 Inventory;;22470.0;COGS - INV-2223
10-May-2026;5000 Cost of Goods Sold;22470.0;;COGS - INV-2223
10-May-2026;1100 Accounts Receivable;28435.0;;Invoice INV-2227 - Rosewood Retail
10-May-2026;4000 Product Sales;;28435.0;Invoice INV-2227 - Rosewood Retail
10-May-2026;1400 Inventory;;15640.0;COGS - INV-2227
10-May-2026;5000 Cost of Goods Sold;15640.0;;COGS - INV-2227
13-May-2026;1100 Accounts Receivable;20347.0;;Invoice INV-2224 - Dunmore Holdings
13-May-2026;4000 Product Sales;;20347.0;Invoice INV-2224 - Dunmore Holdings
13-May-2026;1400 Inventory;;8735.0;COGS - INV-2224
13-May-2026;5000 Cost of Goods Sold;8735.0;;COGS - INV-2224
14-May-2026;2000 Accounts Payable;;2724.0;BILL-3134 Junction Utility Co-op
14-May-2026;6500 Utilities Expense;2724.0;;BILL-3134 Junction Utility Co-op
15-May-2026;2000 Accounts Payable;;6763.0;BILL-3137 Willow Creek Packaging
15-May-2026;5100 Freight & Shipping;6763.0;;BILL-3137 Willow Creek Packaging
15-May-2026;1000 Cash;;64957.0;Payroll 2026-05/01-05/15
15-May-2026;2300 Payroll Liabilities;;18321.0;Payroll 2026-05/01-05/15
15-May-2026;6000 Salaries Expense;83278.0;;Payroll 2026-05/01-05/15
17-May-2026;1000 Cash;40259.0;;Deposit - Vesper Technologies INV-2219
17-May-2026;1100 Accounts Receivable;;40259.0;Deposit - Vesper Technologies INV-2219
18-May-2026;1100 Accounts Receivable;23554.0;;Invoice INV-2228 - Wexford Group
18-May-2026;4000 Product Sales;;23554.0;Invoice INV-2228 - Wexford Group
18-May-2026;1400 Inventory;;13337.0;COGS - INV-2228
18-May-2026;5000 Cost of Goods Sold;13337.0;;COGS - INV-2228
20-May-2026;1000 Cash;20155.0;;Deposit - Vesper Technologies INV-2217
20-May-2026;1100 Accounts Receivable;;20155.0;Deposit - Vesper Technologies INV-2217
20-May-2026;1000 Cash;14689.0;;Deposit - Ivywood Enterprises INV-2221
20-May-2026;1100 Accounts Receivable;;14689.0;Deposit - Ivywood Enterprises INV-2221
20-May-2026;1000 Cash;;2724.0;Pay BILL-3134 Junction Utility Co-op CHK#1007
20-May-2026;2000 Accounts Payable;2724.0;;Pay BILL-3134 Junction Utility Co-op CHK#1007
21-May-2026;1000 Cash;35550.0;;Deposit - Birchfield Foods INV-2225
21-May-2026;1100 Accounts Receivable;;35550.0;Deposit - Birchfield Foods INV-2225
22-May-2026;1100 Accounts Receivable;13309.0;;Invoice INV-2226 - Rosewood Retail
22-May-2026;4000 Product Sales;;13309.0;Invoice INV-2226 - Rosewood Retail
22-May-2026;1400 Inventory;;6194.0;COGS - INV-2226
22-May-2026;5000 Cost of Goods Sold;6194.0;;COGS - INV-2226
26-May-2026;1000 Cash;48043.0;;Deposit - Dunmore Holdings INV-2223
26-May-2026;1100 Accounts Receivable;;48043.0;Deposit - Dunmore Holdings INV-2223
28-May-2026;1000 Cash;28212.0;;Deposit - Wexford Group INV-2218
28-May-2026;1100 Accounts Receivable;;28212.0;Deposit - Wexford Group INV-2218
28-May-2026;1000 Cash;;64786.0;Payroll 2026-05/16-05/30
