date,account,dr,Credit,memo
2026-04-01,1000 Cash,415588.62,,Opening balances
2026-04-01,1300 Prepaid Insurance,855.0,,Opening balances
2026-04-01,1500 Equipment,133850.0,,Opening balances
2026-04-01,1590 Accumulated Depreciation,,22308.3,Opening balances
2026-04-01,2000 Accounts Payable,,56304.47,Opening balances
2026-04-01,3000 Retained Earnings,,471680.85,Opening balances
2026-04-02,2000 Accounts Payable,,6316.0,BILL-3119 Pillar Accounting Services
2026-04-02,6600 Professional Fees,6316.0,,BILL-3119 Pillar Accounting Services
2026-04-03,1000 Cash,,15154.0,Rent - Harborstone Realty Partners
2026-04-03,6100 Rent Expense,15154.0,,Rent - Harborstone Realty Partners
2026-04-06,1000 Cash,,28152.23,Payment on account - opening payables
2026-04-06,2000 Accounts Payable,28152.23,,Payment on account - opening payables
2026-04-06,1100 Accounts Receivable,35374.0,,Invoice INV-2234 - Birchfield Foods
2026-04-06,4100 Retainer Revenue,,35374.0,Invoice INV-2234 - Birchfield Foods
2026-04-06,2000 Accounts Payable,,8135.0,BILL-3117 Pillar Accounting Services
2026-04-06,6600 Professional Fees,8135.0,,BILL-3117 Pillar Accounting Services
2026-04-11,1100 Accounts Receivable,35779.0,,Invoice INV-2231 - Nordica Labs
2026-04-11,4100 Retainer Revenue,,35779.0,Invoice INV-2231 - Nordica Labs
2026-04-11,1000 Cash,,6316.0,Pay BILL-3119 Pillar Accounting Services CHK#1003
2026-04-11,2000 Accounts Payable,6316.0,,Pay BILL-3119 Pillar Accounting Services CHK#1003
2026-04-11,1000 Cash,,8135.0,Pay BILL-3117 Pillar Accounting Services CHK#1004
2026-04-11,2000 Accounts Payable,8135.0,,Pay BILL-3117 Pillar Accounting Services CHK#1004
2026-04-15,2000 Accounts Payable,,7399.0,BILL-3121 Helix IT Solutions
2026-04-15,6450 Software Expense,7399.0,,BILL-3121 Helix IT Solutions
2026-04-15,1000 Cash,,60816.0,Payroll 2026-04/01-04/15
2026-04-15,2300 Payroll Liabilities,,17152.0,Payroll 2026-04/01-04/15
2026-04-15,6000 Salaries Expense,77968.0,,Payroll 2026-04/01-04/15
2026-04-19,2000 Accounts Payable,,6654.0,BILL-3120 Delta Facility Services
2026-04-19,6700 Office Supplies,6654.0,,BILL-3120 Delta Facility Services
2026-04-20,1100 Accounts Receivable,12457.0,,Invoice INV-2230 - Nordica Labs
2026-04-20,4100 Retainer Revenue,,12457.0,Invoice INV-2230 - Nordica Labs
2026-04-21,1100 Accounts Receivable,15926.0,,Invoice INV-2232 - Atlas Verde LLC
2026-04-21,4000 Consulting Revenue,,15926.0,Invoice INV-2232 - Atlas Verde LLC
2026-04-22,1100 Accounts Receivable,46839.0,,Invoice INV-2233 - Eastgate Collective
2026-04-22,4000 Consulting Revenue,,46839.0,Invoice INV-2233 - Eastgate Collective
2026-04-22,2000 Accounts Payable,,9642.0,BILL-3118 Pillar Accounting Services
2026-04-22,6600 Professional Fees,9642.0,,BILL-3118 Pillar Accounting Services
2026-04-24,1000 Cash,35374.0,,Deposit - Birchfield Foods INV-2234
2026-04-24,1100 Accounts Receivable,,35374.0,Deposit - Birchfield Foods INV-2234
2026-04-27,1000 Cash,,6654.0,Pay BILL-3120 Delta Facility Services CHK#1005
2026-04-27,2000 Accounts Payable,6654.0,,Pay BILL-3120 Delta Facility Services CHK#1005
2026-04-27,1000 Cash,,9642.0,Pay BILL-3118 Pillar Accounting Services CHK#1006
2026-04-27,2000 Accounts Payable,9642.0,,Pay BILL-3118 Pillar Accounting Services CHK#1006
2026-04-28,1000 Cash,,60847.0,Payroll 2026-04/16-04/30
2026-04-28,2300 Payroll Liabilities,,17161.0,Payroll 2026-04/16-04/30
2026-04-28,6000 Salaries Expense,78008.0,,Payroll 2026-04/16-04/30
2026-04-28,1300 Prepaid Insurance,,95.0,Monthly insurance amortization
2026-04-28,6400 Insurance Expense,95.0,,Monthly insurance amortization
2026-04-28,1590 Accumulated Depreciation,,2230.83,Monthly depreciation
2026-04-28,6800 Depreciation Expense,2230.83,,Monthly depreciation
2026-05-02,1100 Accounts Receivable,20138.0,,Invoice INV-2237 - Marlowe & Finch
2026-05-02,4000 Consulting Revenue,,20138.0,Invoice INV-2237 - Marlowe & Finch
2026-05-03,1000 Cash,,15154.0,Rent - Harborstone Realty Partners
2026-05-03,6100 Rent Expense,15154.0,,Rent - Harborstone Realty Partners
