date,transaction_description,amount,balance
2026-05-31,OPENING BALANCE,,296507.39
2026-06-05,CHECK #1010 HARBORSTONE,-15154.0,281353.39
2026-06-08,CHECK #1016 QUILLWARE TE,-324.0,281029.39
2026-06-09,DEPOSIT MARLOWE  FIN,29980.0,311009.39
2026-06-12,INCOMING WIRE - MEMBER CONTRIBUTION,19435.0,330444.39
2026-06-13,DEPOSIT KELSO BRANDS,46535.0,376979.39
2026-06-15,PAYROLL ACH BATCH,-41028.0,335951.39
2026-06-17,CHECK #1011 BRIGHT HARBOR,-12457.25,323494.14
2026-06-21,DEPOSIT BIRCHFIELD FOODS,40984.0,364478.14
2026-06-23,CHECK #1015 LUMEN OFFICE,-3730.0,360748.14
2026-06-24,DEPOSIT BIRCHFIELD F INV-2235,19708.0,380456.14
2026-06-26,CHECK #1014 PILLAR ACCOUNTING,-11774.01,368682.13
2026-06-26,DEPOSIT UNDERHILL LOGISTICS,26117.0,394799.13
2026-06-27,SERVICE FEE,-36.59,394762.54
2026-06-28,WIRE FEE,-25.58,394736.96
2026-06-30,INTEREST CREDIT,10.72,394747.68
2026-06-30,ENDING BALANCE,,394747.68
