date,description,amt,balance
2026-05-31,OPENING BALANCE,,128233.79
2026-06-03,DEPOSIT GLENROCK SOLUTIONS INV-2247,15742.0,143975.79
2026-06-06,DEPOSIT KELSO BRANDS INV-2246,42545.0,186520.79
2026-06-07,CHECK #1009 AMBERFIELD PROPERTY,-13542.0,172978.79
2026-06-07,DEPOSIT BROCKMAN  HA INV-2243,24368.0,197346.79
2026-06-07,DEPOSIT OSTRANDER CO INV-2244,8993.0,206339.79
2026-06-09,CHECK #1010 MERIDIAN LEG,-9617.0,196722.79
2026-06-12,INCOMING WIRE - MEMBER CONTRIBUTION,16952.0,213674.79
2026-06-15,PAYROLL ACH BATCH,-36180.0,177494.79
2026-06-23,CHECK #1012 HELIX IT,-8911.0,168583.79
2026-06-27,SERVICE FEE,-31.61,168552.18
2026-06-28,WIRE FEE,-48.24,168503.94
2026-06-30,INTEREST CREDIT,32.79,168536.73
2026-06-30,ENDING BALANCE,,168536.73
