date,account,Debit,credit,Memo
2026-04-01,1000 Cash,240787.84,,Opening balances
2026-04-01,1300 Prepaid Insurance,1143.0,,Opening balances
2026-04-01,1500 Equipment,170586.0,,Opening balances
2026-04-01,1590 Accumulated Depreciation,,19901.7,Opening balances
2026-04-01,2000 Accounts Payable,,35978.11,Opening balances
2026-04-01,3000 Retained Earnings,,356637.03,Opening balances
2026-04-03,1100 Accounts Receivable,14962.0,,Invoice INV-2239 - Wexford Group
2026-04-03,4000 Subscription Revenue,,14962.0,Invoice INV-2239 - Wexford Group
2026-04-03,1000 Cash,,13542.0,Rent - Amberfield Property Group
2026-04-03,6100 Rent Expense,13542.0,,Rent - Amberfield Property Group
2026-04-04,2000 Accounts Payable,,2050.0,BILL-3129 Junction Utility Co-op
2026-04-04,6500 Utilities Expense,2050.0,,BILL-3129 Junction Utility Co-op
2026-04-05,1100 Accounts Receivable,16227.0,,Invoice INV-2238 - Brockman & Hale
2026-04-05,4000 Subscription Revenue,,16227.0,Invoice INV-2238 - Brockman & Hale
2026-04-06,1000 Cash,,17989.05,Payment on account - opening payables
2026-04-06,2000 Accounts Payable,17989.05,,Payment on account - opening payables
2026-04-08,1100 Accounts Receivable,20827.0,,Invoice INV-2240 - Wexford Group
2026-04-08,4100 Professional Services Revenue,,20827.0,Invoice INV-2240 - Wexford Group
2026-04-09,1100 Accounts Receivable,27389.0,,Invoice INV-2237 - Kelso Brands
2026-04-09,4000 Subscription Revenue,,27389.0,Invoice INV-2237 - Kelso Brands
2026-04-10,2000 Accounts Payable,,5053.0,BILL-3128 Uptown Catering Co.
2026-04-10,6700 Office Supplies,5053.0,,BILL-3128 Uptown Catering Co.
2026-04-12,1100 Accounts Receivable,20989.0,,Invoice INV-2241 - Underhill Logistics
2026-04-12,4000 Subscription Revenue,,20989.0,Invoice INV-2241 - Underhill Logistics
2026-04-13,2000 Accounts Payable,,8944.0,BILL-3126 CloudSpan Hosting
2026-04-13,6450 Software Expense,8944.0,,BILL-3126 CloudSpan Hosting
2026-04-15,1100 Accounts Receivable,24091.0,,Invoice INV-2242 - Ostrander Co.
2026-04-15,4000 Subscription Revenue,,24091.0,Invoice INV-2242 - Ostrander Co.
2026-04-15,1000 Cash,,53523.0,Payroll 2026-04/01-04/15
2026-04-15,2300 Payroll Liabilities,,15096.0,Payroll 2026-04/01-04/15
2026-04-15,6000 Salaries Expense,68619.0,,Payroll 2026-04/01-04/15
2026-04-16,2000 Accounts Payable,,5997.0,BILL-3127 Junction Utility Co-op
2026-04-16,6500 Utilities Expense,5997.0,,BILL-3127 Junction Utility Co-op
2026-04-16,2000 Accounts Payable,,5754.0,BILL-3131 Bright Harbor Media
2026-04-16,6200 Advertising & Marketing,5754.0,,BILL-3131 Bright Harbor Media
2026-04-19,1000 Cash,,5053.0,Pay BILL-3128 Uptown Catering Co. CHK#1003
2026-04-19,2000 Accounts Payable,5053.0,,Pay BILL-3128 Uptown Catering Co. CHK#1003
2026-04-19,2000 Accounts Payable,,3507.0,BILL-3130 Junction Utility Co-op
2026-04-19,6500 Utilities Expense,3507.0,,BILL-3130 Junction Utility Co-op
2026-04-22,1000 Cash,,5997.0,Pay BILL-3127 Junction Utility Co-op CHK#1004
2026-04-22,2000 Accounts Payable,5997.0,,Pay BILL-3127 Junction Utility Co-op CHK#1004
2026-04-28,1000 Cash,,53679.0,Payroll 2026-04/16-04/30
2026-04-28,2300 Payroll Liabilities,,15140.0,Payroll 2026-04/16-04/30
2026-04-28,6000 Salaries Expense,68819.0,,Payroll 2026-04/16-04/30
2026-04-28,1300 Prepaid Insurance,,127.0,Monthly insurance amortization
2026-04-28,6400 Insurance Expense,127.0,,Monthly insurance amortization
2026-04-28,1590 Accumulated Depreciation,,2843.1,Monthly depreciation
2026-04-28,6800 Depreciation Expense,2843.1,,Monthly depreciation
2026-05-02,1000 Cash,20827.0,,Deposit - Wexford Group INV-2240
2026-05-02,1100 Accounts Receivable,,20827.0,Deposit - Wexford Group INV-2240
2026-05-03,1000 Cash,,13542.0,Rent - Amberfield Property Group
2026-05-03,6100 Rent Expense,13542.0,,Rent - Amberfield Property Group
2026-05-04,1100 Accounts Receivable,24368.0,,Invoice INV-2243 - Brockman & Hale
2026-05-04,4100 Professional Services Revenue,,24368.0,Invoice INV-2243 - Brockman & Hale
2026-05-05,1100 Accounts Receivable,33073.0,,Invoice INV-2245 - Atlas Verde LLC
2026-05-05,4000 Subscription Revenue,,33073.0,Invoice INV-2245 - Atlas Verde LLC
2026-05-05,2000 Accounts Payable,,10085.0,BILL-3133 Pillar Accounting Services
2026-05-05,6600 Professional Fees,10085.0,,BILL-3133 Pillar Accounting Services
2026-05-08,2000 Accounts Payable,,1613.0,BILL-3135 Pillar Accounting Services
2026-05-08,6600 Professional Fees,1613.0,,BILL-3135 Pillar Accounting Services
2026-05-09,1000 Cash,24091.0,,Deposit - Ostrander Co. INV-2242
2026-05-09,1100 Accounts Receivable,,24091.0,Deposit - Ostrander Co. INV-2242
2026-05-09,2000 Accounts Payable,,8557.0,BILL-3134 Helix IT Solutions
2026-05-09,6450 Software Expense,8557.0,,BILL-3134 Helix IT Solutions
2026-05-10,1000 Cash,14962.0,,Deposit - Wexford Group INV-2239
2026-05-10,1100 Accounts Receivable,,14962.0,Deposit - Wexford Group INV-2239
2026-05-10,2000 Accounts Payable,,8292.0,BILL-3132 Trellis Marketing Group
