Date;details;Amount;balance
2026-05-31;OPENING BALANCE;;122211.05
2026-06-06;CHECK #1012 HARBORSTONE REALTY;-14720.0;107491.05
2026-06-06;DEPOSIT PINEHURST DIGITAL INV-2232;14431.0;121922.05
2026-06-08;CHECK #1019 NIMBUS APPS;-720.0;121202.05
2026-06-12;INCOMING WIRE - MEMBER CONTRIBUTION;7325.0;128527.05
2026-06-14;DEPOSIT ZEPHYR DYNAMICS;19520.0;148047.05
2026-06-15;CHECK #1014 ZENITH FREIGHT;-15769.16;132277.89
2026-06-15;PAYROLL ACH BATCH;-57726.0;74551.89
2026-06-16;CHECK #1013 WILLOW CREEK;-8577.0;65974.89
2026-06-16;DEPOSIT BROCKMAN  HALE;32819.0;98793.89
2026-06-25;CHECK #1015 KITE DIGITAL;-11630.16;87163.73
2026-06-27;SERVICE FEE;-56.11;87107.62
2026-06-30;ENDING BALANCE;;87107.62
