Date;account;debit;Credit;memo
2026-04-01;1000 Cash;320701.61;;Opening balances
2026-04-01;1300 Prepaid Insurance;1665.0;;Opening balances
2026-04-01;1400 Inventory;71325.37;;Opening balances
2026-04-01;1500 Equipment;62002.0;;Opening balances
2026-04-01;1590 Accumulated Depreciation;;10333.6;Opening balances
2026-04-01;2000 Accounts Payable;;74581.13;Opening balances
2026-04-01;3000 Retained Earnings;;370779.25;Opening balances
2026-04-03;1000 Cash;;14720.0;Rent - Harborstone Realty Partners
2026-04-03;6100 Rent Expense;14720.0;;Rent - Harborstone Realty Partners
2026-04-03;2000 Accounts Payable;;7200.0;BILL-3126 Helix IT Solutions
2026-04-03;6450 Software Expense;7200.0;;BILL-3126 Helix IT Solutions
2026-04-04;2000 Accounts Payable;;2742.0;BILL-3125 Lumen Office Supply
2026-04-04;6700 Office Supplies;2742.0;;BILL-3125 Lumen Office Supply
2026-04-06;1000 Cash;;37290.56;Payment on account - opening payables
2026-04-06;2000 Accounts Payable;37290.56;;Payment on account - opening payables
2026-04-07;2000 Accounts Payable;;1100.0;BILL-3123 Ridgeline Telecom
2026-04-07;6500 Utilities Expense;1100.0;;BILL-3123 Ridgeline Telecom
2026-04-08;1100 Accounts Receivable;26392.0;;Invoice INV-2230 - Marlowe & Finch
2026-04-08;4000 Product Sales;;26392.0;Invoice INV-2230 - Marlowe & Finch
2026-04-08;1400 Inventory;;14536.0;COGS - INV-2230
2026-04-08;5000 Cost of Goods Sold;14536.0;;COGS - INV-2230
2026-04-08;1000 Cash;;2742.0;Pay BILL-3125 Lumen Office Supply CHK#1003
2026-04-08;2000 Accounts Payable;2742.0;;Pay BILL-3125 Lumen Office Supply CHK#1003
2026-04-10;1100 Accounts Receivable;46073.0;;Invoice INV-2229 - Zephyr Dynamics
2026-04-10;4100 Shipping Income;;46073.0;Invoice INV-2229 - Zephyr Dynamics
2026-04-14;1000 Cash;;1100.0;Pay BILL-3123 Ridgeline Telecom CHK#1004
2026-04-14;2000 Accounts Payable;1100.0;;Pay BILL-3123 Ridgeline Telecom CHK#1004
2026-04-15;1100 Accounts Receivable;32511.0;;Invoice INV-2233 - Brockman & Hale
2026-04-15;4100 Shipping Income;;32511.0;Invoice INV-2233 - Brockman & Hale
2026-04-15;2000 Accounts Payable;;10087.0;BILL-3124 Pillar Accounting Services
2026-04-15;6600 Professional Fees;10087.0;;BILL-3124 Pillar Accounting Services
2026-04-15;1000 Cash;;57576.0;Payroll 2026-04/01-04/15
2026-04-15;2300 Payroll Liabilities;;16239.0;Payroll 2026-04/01-04/15
2026-04-15;6000 Salaries Expense;73815.0;;Payroll 2026-04/01-04/15
2026-04-16;2000 Accounts Payable;;5593.0;BILL-3122 Helix IT Solutions
2026-04-16;6450 Software Expense;5593.0;;BILL-3122 Helix IT Solutions
