txn_date,account,dr,cr,Memo
01-Apr-2026,1000 Cash,194240.28,,Opening balances
01-Apr-2026,1300 Prepaid Insurance,1566.0,,Opening balances
01-Apr-2026,1400 Inventory,78249.43,,Opening balances
01-Apr-2026,1500 Equipment,113610.0,,Opening balances
01-Apr-2026,1590 Accumulated Depreciation,,30296.0,Opening balances
01-Apr-2026,2000 Accounts Payable,,29002.47,Opening balances
01-Apr-2026,3000 Retained Earnings,,328367.24,Opening balances
02-Apr-2026,1100 Accounts Receivable,22512.0,,Invoice INV-2229 - Quimby Ventures
02-Apr-2026,4100 Delivery Fees,,22512.0,Invoice INV-2229 - Quimby Ventures
03-Apr-2026,1100 Accounts Receivable,6625.0,,Invoice INV-2225 - Quimby Ventures
03-Apr-2026,4000 Wholesale Sales,,6625.0,Invoice INV-2225 - Quimby Ventures
03-Apr-2026,1400 Inventory,,3493.0,COGS - INV-2225
03-Apr-2026,5000 Cost of Goods Sold,3493.0,,COGS - INV-2225
03-Apr-2026,1000 Cash,,7547.0,Rent - Harborstone Realty Partners
03-Apr-2026,6100 Rent Expense,7547.0,,Rent - Harborstone Realty Partners
04-Apr-2026,2000 Accounts Payable,,2834.0,BILL-3102 Uptown Catering Co.
04-Apr-2026,6700 Office Supplies,2834.0,,BILL-3102 Uptown Catering Co.
04-Apr-2026,2000 Accounts Payable,,2978.0,BILL-3105 Delta Facility Services
04-Apr-2026,6700 Office Supplies,2978.0,,BILL-3105 Delta Facility Services
05-Apr-2026,1100 Accounts Receivable,29823.0,,Invoice INV-2228 - Tamarack Health
05-Apr-2026,4100 Delivery Fees,,29823.0,Invoice INV-2228 - Tamarack Health
06-Apr-2026,1000 Cash,,14501.23,Payment on account - opening payables
06-Apr-2026,2000 Accounts Payable,14501.23,,Payment on account - opening payables
06-Apr-2026,1100 Accounts Receivable,19698.0,,Invoice INV-2226 - Quimby Ventures
06-Apr-2026,4000 Wholesale Sales,,19698.0,Invoice INV-2226 - Quimby Ventures
06-Apr-2026,1400 Inventory,,8660.0,COGS - INV-2226
06-Apr-2026,5000 Cost of Goods Sold,8660.0,,COGS - INV-2226
08-Apr-2026,1000 Cash,,2834.0,Pay BILL-3102 Uptown Catering Co. CHK#1003
08-Apr-2026,2000 Accounts Payable,2834.0,,Pay BILL-3102 Uptown Catering Co. CHK#1003
09-Apr-2026,1000 Cash,,2978.0,Pay BILL-3105 Delta Facility Services CHK#1004
09-Apr-2026,2000 Accounts Payable,2978.0,,Pay BILL-3105 Delta Facility Services CHK#1004
