txn_date,details,amount,balance
31-May-2026,OPENING BALANCE,,110495.05
04-Jun-2026,DEPOSIT BROCKMAN  HA,6369.0,116864.05
05-Jun-2026,CHECK #1013 HARBORSTONE,-7547.0,109317.05
09-Jun-2026,DEPOSIT QUIMBY VENTURES,24616.0,133933.05
10-Jun-2026,CHECK #1014 CLOUDSPAN HO,-5115.0,128818.05
10-Jun-2026,DEPOSIT LONGMONT SYSTEMS,6533.0,135351.05
12-Jun-2026,DEPOSIT EASTGATE COLLECTIVE,9093.0,144444.05
12-Jun-2026,INCOMING WIRE - MEMBER CONTRIBUTION,12940.0,157384.05
14-Jun-2026,DEPOSIT TAMARACK HEALTH,15927.0,173311.05
15-Jun-2026,PAYROLL ACH BATCH,-33181.0,140130.05
16-Jun-2026,CHECK #1015 PILLAR ACCOU,-14338.8,125791.25
18-Jun-2026,DEPOSIT NORDICA LABS INV-2238,22643.0,148434.25
27-Jun-2026,SERVICE FEE,-57.8,148376.45
30-Jun-2026,INTEREST CREDIT,20.01,148396.46
30-Jun-2026,ENDING BALANCE,,148396.46
