date,description,amt,balance
2026-05-31,OPENING BALANCE,,250944.58
2026-06-07,CHECK #1012 INKWELL PRIN,-7844.0,243100.58
2026-06-09,CHECK #1011 AMBERFIELD P,-12370.0,230730.58
2026-06-10,DEPOSIT BIRCHFIELD F INV-2215,35897.0,266627.58
2026-06-10,DEPOSIT CRESTLINE PA,34923.0,301550.58
2026-06-12,CHECK #1013 PILLAR ACCOUNTING,-10623.0,290927.58
2026-06-12,DEPOSIT GLENROCK SOLUTIONS,19013.0,309940.58
2026-06-12,INCOMING WIRE - MEMBER CONTRIBUTION,15695.0,325635.58
2026-06-13,CHECK #1014 KITE DIGITAL,-7298.0,318337.58
2026-06-15,DEPOSIT NORDICA LABS INV-2212,27216.0,345553.58
2026-06-15,PAYROLL ACH BATCH,-67974.0,277579.58
2026-06-23,CHECK #1018 UPTOWN CATERING,-1453.0,276126.58
2026-06-27,SERVICE FEE,-41.46,276085.12
2026-06-28,CHECK #1019 PILLAR ACCOU,-15514.02,260571.1
2026-06-30,INTEREST CREDIT,34.7,260605.8
2026-06-30,ENDING BALANCE,,260605.8
