date,gl_account,Debit,cr,description
2026-04-01,1000 Cash,239417.98,,Opening balances
2026-04-01,1300 Prepaid Insurance,1377.0,,Opening balances
2026-04-01,1500 Equipment,129290.0,,Opening balances
2026-04-01,1590 Accumulated Depreciation,,36632.11,Opening balances
2026-04-01,2000 Accounts Payable,,46118.81,Opening balances
2026-04-01,3000 Retained Earnings,,287334.06,Opening balances
2026-04-01,1100 Accounts Receivable,41632.0,,Invoice INV-2208 - Birchfield Foods
2026-04-01,4000 Consulting Revenue,,41632.0,Invoice INV-2208 - Birchfield Foods
2026-04-03,1000 Cash,,12370.0,Rent - Amberfield Property Group
2026-04-03,6100 Rent Expense,12370.0,,Rent - Amberfield Property Group
2026-04-06,1000 Cash,,23059.4,Payment on account - opening payables
2026-04-06,2000 Accounts Payable,23059.4,,Payment on account - opening payables
2026-04-06,1100 Accounts Receivable,25487.0,,Invoice INV-2206 - Crestline Partners
2026-04-06,4000 Consulting Revenue,,25487.0,Invoice INV-2206 - Crestline Partners
2026-04-08,2000 Accounts Payable,,1379.0,BILL-3141 CloudSpan Hosting
2026-04-08,6450 Software Expense,1379.0,,BILL-3141 CloudSpan Hosting
2026-04-09,1100 Accounts Receivable,32581.0,,Invoice INV-2202 - Jasper Analytics
2026-04-09,4100 Retainer Revenue,,32581.0,Invoice INV-2202 - Jasper Analytics
2026-04-10,1100 Accounts Receivable,19082.0,,Invoice INV-2204 - Crestline Partners
2026-04-10,4000 Consulting Revenue,,19082.0,Invoice INV-2204 - Crestline Partners
2026-04-10,1100 Accounts Receivable,48200.0,,Invoice INV-2207 - Crestline Partners
2026-04-10,4000 Consulting Revenue,,48200.0,Invoice INV-2207 - Crestline Partners
2026-04-11,2000 Accounts Payable,,8507.0,BILL-3139 Meridian Legal LLP
2026-04-11,6600 Professional Fees,8507.0,,BILL-3139 Meridian Legal LLP
2026-04-15,2000 Accounts Payable,,1413.0,BILL-3137 Junction Utility Co-op
2026-04-15,6500 Utilities Expense,1413.0,,BILL-3137 Junction Utility Co-op
2026-04-15,1000 Cash,,33104.0,Payroll 2026-04/01-04/15
2026-04-15,2300 Payroll Liabilities,,9337.0,Payroll 2026-04/01-04/15
2026-04-15,6000 Salaries Expense,42441.0,,Payroll 2026-04/01-04/15
2026-04-17,1100 Accounts Receivable,46159.0,,Invoice INV-2205 - Glenrock Solutions
2026-04-17,4000 Consulting Revenue,,46159.0,Invoice INV-2205 - Glenrock Solutions
2026-04-17,1000 Cash,,8507.0,Pay BILL-3139 Meridian Legal LLP CHK#1003
2026-04-17,2000 Accounts Payable,8507.0,,Pay BILL-3139 Meridian Legal LLP CHK#1003
2026-04-20,2000 Accounts Payable,,3931.0,BILL-3138 Meridian Legal LLP
2026-04-20,6600 Professional Fees,3931.0,,BILL-3138 Meridian Legal LLP
2026-04-20,2000 Accounts Payable,,5423.0,BILL-3140 Meridian Legal LLP
2026-04-20,6600 Professional Fees,5423.0,,BILL-3140 Meridian Legal LLP
2026-04-23,1100 Accounts Receivable,13063.0,,Invoice INV-2203 - Atlas Verde LLC
2026-04-23,4000 Consulting Revenue,,13063.0,Invoice INV-2203 - Atlas Verde LLC
2026-04-23,1000 Cash,41632.0,,Deposit - Birchfield Foods INV-2208
2026-04-23,1100 Accounts Receivable,,41632.0,Deposit - Birchfield Foods INV-2208
2026-04-26,1000 Cash,,5423.0,Pay BILL-3140 Meridian Legal LLP CHK#1004
2026-04-26,2000 Accounts Payable,5423.0,,Pay BILL-3140 Meridian Legal LLP CHK#1004
2026-04-28,1000 Cash,,32980.0,Payroll 2026-04/16-04/30
2026-04-28,2300 Payroll Liabilities,,9301.0,Payroll 2026-04/16-04/30
2026-04-28,6000 Salaries Expense,42281.0,,Payroll 2026-04/16-04/30
2026-04-28,1300 Prepaid Insurance,,153.0,Monthly insurance amortization
2026-04-28,6400 Insurance Expense,153.0,,Monthly insurance amortization
2026-04-28,1590 Accumulated Depreciation,,2154.83,Monthly depreciation
2026-04-28,6800 Depreciation Expense,2154.83,,Monthly depreciation
2026-05-01,1000 Cash,25487.0,,Deposit - Crestline Partners INV-2206
2026-05-01,1100 Accounts Receivable,,25487.0,Deposit - Crestline Partners INV-2206
2026-05-03,1000 Cash,,12370.0,Rent - Amberfield Property Group
2026-05-03,6100 Rent Expense,12370.0,,Rent - Amberfield Property Group
2026-05-03,2000 Accounts Payable,,4741.0,BILL-3142 Helix IT Solutions
2026-05-03,6450 Software Expense,4741.0,,BILL-3142 Helix IT Solutions
2026-05-05,1100 Accounts Receivable,16017.0,,Invoice INV-2209 - Nordica Labs
2026-05-05,4100 Retainer Revenue,,16017.0,Invoice INV-2209 - Nordica Labs
2026-05-06,1000 Cash,32581.0,,Deposit - Jasper Analytics INV-2202
2026-05-06,1100 Accounts Receivable,,32581.0,Deposit - Jasper Analytics INV-2202
2026-05-06,1000 Cash,48200.0,,Deposit - Crestline Partners INV-2207
2026-05-06,1100 Accounts Receivable,,48200.0,Deposit - Crestline Partners INV-2207
2026-05-06,1000 Cash,,4741.0,Pay BILL-3142 Helix IT Solutions CHK#1006
2026-05-06,2000 Accounts Payable,4741.0,,Pay BILL-3142 Helix IT Solutions CHK#1006
2026-05-09,1000 Cash,46159.0,,Deposit - Glenrock Solutions INV-2205
2026-05-09,1100 Accounts Receivable,,46159.0,Deposit - Glenrock Solutions INV-2205
2026-05-11,1100 Accounts Receivable,14756.0,,Invoice INV-2213 - Crestline Partners
2026-05-11,4000 Consulting Revenue,,14756.0,Invoice INV-2213 - Crestline Partners
2026-05-11,1100 Accounts Receivable,35897.0,,Invoice INV-2215 - Birchfield Foods
2026-05-11,4000 Consulting Revenue,,35897.0,Invoice INV-2215 - Birchfield Foods
2026-05-13,2000 Accounts Payable,,3239.0,BILL-3146 Ridgeline Telecom
2026-05-13,6500 Utilities Expense,3239.0,,BILL-3146 Ridgeline Telecom
2026-05-14,2000 Accounts Payable,,6700.0,BILL-3144 Trellis Marketing Group
2026-05-14,6200 Advertising & Marketing,6700.0,,BILL-3144 Trellis Marketing Group
2026-05-14,2000 Accounts Payable,,1902.0,BILL-3147 Pillar Accounting Services
2026-05-14,6600 Professional Fees,1902.0,,BILL-3147 Pillar Accounting Services
2026-05-15,1100 Accounts Receivable,34923.0,,Invoice INV-2210 - Crestline Partners
2026-05-15,4000 Consulting Revenue,,34923.0,Invoice INV-2210 - Crestline Partners
2026-05-15,1000 Cash,,43016.0,Payroll 2026-05/01-05/15
2026-05-15,2300 Payroll Liabilities,,12132.0,Payroll 2026-05/01-05/15
2026-05-15,6000 Salaries Expense,55148.0,,Payroll 2026-05/01-05/15
2026-05-16,1100 Accounts Receivable,19013.0,,Invoice INV-2211 - Glenrock Solutions
2026-05-16,4000 Consulting Revenue,,19013.0,Invoice INV-2211 - Glenrock Solutions
2026-05-18,1100 Accounts Receivable,31687.0,,Invoice INV-2214 - Nordica Labs
2026-05-18,4000 Consulting Revenue,,31687.0,Invoice INV-2214 - Nordica Labs
2026-05-19,1000 Cash,19082.0,,Deposit - Crestline Partners INV-2204
2026-05-19,1100 Accounts Receivable,,19082.0,Deposit - Crestline Partners INV-2204
2026-05-19,2000 Accounts Payable,,10487.0,BILL-3143 Meridian Legal LLP
2026-05-19,6600 Professional Fees,10487.0,,BILL-3143 Meridian Legal LLP
2026-05-20,1100 Accounts Receivable,27216.0,,Invoice INV-2212 - Nordica Labs
2026-05-20,4000 Consulting Revenue,,27216.0,Invoice INV-2212 - Nordica Labs
2026-05-20,1000 Cash,,6700.0,Pay BILL-3144 Trellis Marketing Group CHK#1008
2026-05-20,2000 Accounts Payable,6700.0,,Pay BILL-3144 Trellis Marketing Group CHK#1008
2026-05-21,1000 Cash,13063.0,,Deposit - Atlas Verde LLC INV-2203
2026-05-21,1100 Accounts Receivable,,13063.0,Deposit - Atlas Verde LLC INV-2203
2026-05-21,1000 Cash,,3239.0,Pay BILL-3146 Ridgeline Telecom CHK#1007
2026-05-21,2000 Accounts Payable,3239.0,,Pay BILL-3146 Ridgeline Telecom CHK#1007
2026-05-22,2000 Accounts Payable,,6282.0,BILL-3145 Pillar Accounting Services
2026-05-22,6600 Professional Fees,6282.0,,BILL-3145 Pillar Accounting Services
