Date;gl_account;dr;cr;description
2026-04-01;1000 Cash;472451.22;;Opening balances
2026-04-01;1300 Prepaid Insurance;1341.0;;Opening balances
2026-04-01;1500 Equipment;64171.0;;Opening balances
2026-04-01;1590 Accumulated Depreciation;;16042.65;Opening balances
2026-04-01;2000 Accounts Payable;;33562.15;Opening balances
2026-04-01;3000 Retained Earnings;;488358.42;Opening balances
2026-04-02;1100 Accounts Receivable;29913.0;;Invoice INV-2211 - Aldergate Insurance
2026-04-02;4000 Subscription Revenue;;29913.0;Invoice INV-2211 - Aldergate Insurance
2026-04-02;1100 Accounts Receivable;18080.0;;Invoice INV-2213 - Vesper Technologies
2026-04-02;4000 Subscription Revenue;;18080.0;Invoice INV-2213 - Vesper Technologies
2026-04-02;2000 Accounts Payable;;3090.0;BILL-3124 Stanton Cleaning Crew
2026-04-02;6700 Office Supplies;3090.0;;BILL-3124 Stanton Cleaning Crew
2026-04-03;1100 Accounts Receivable;8152.0;;Invoice INV-2212 - Corliss Marine
2026-04-03;4000 Subscription Revenue;;8152.0;Invoice INV-2212 - Corliss Marine
2026-04-03;1000 Cash;;7420.0;Rent - Amberfield Property Group
2026-04-03;6100 Rent Expense;7420.0;;Rent - Amberfield Property Group
2026-04-03;2000 Accounts Payable;;8630.0;BILL-3129 CloudSpan Hosting
2026-04-03;6450 Software Expense;8630.0;;BILL-3129 CloudSpan Hosting
2026-04-05;2000 Accounts Payable;;4680.0;BILL-3126 Ridgeline Telecom
2026-04-05;6500 Utilities Expense;4680.0;;BILL-3126 Ridgeline Telecom
2026-04-06;1000 Cash;;16781.07;Payment on account - opening payables
2026-04-06;2000 Accounts Payable;16781.07;;Payment on account - opening payables
2026-04-06;1100 Accounts Receivable;29456.0;;Invoice INV-2215 - Yardley Supply
2026-04-06;4000 Subscription Revenue;;29456.0;Invoice INV-2215 - Yardley Supply
2026-04-08;1000 Cash;;3090.0;Pay BILL-3124 Stanton Cleaning Crew CHK#1003
2026-04-08;2000 Accounts Payable;3090.0;;Pay BILL-3124 Stanton Cleaning Crew CHK#1003
2026-04-09;2000 Accounts Payable;;9154.0;BILL-3127 Clearbyte Cloud Services
2026-04-09;6300 Software Subscriptions;9154.0;;BILL-3127 Clearbyte Cloud Services
2026-04-10;1000 Cash;;8630.0;Pay BILL-3129 CloudSpan Hosting CHK#1004
2026-04-10;2000 Accounts Payable;8630.0;;Pay BILL-3129 CloudSpan Hosting CHK#1004
2026-04-15;1000 Cash;;62250.0;Payroll 2026-04/01-04/15
2026-04-15;2300 Payroll Liabilities;;17557.0;Payroll 2026-04/01-04/15
2026-04-15;6000 Salaries Expense;79807.0;;Payroll 2026-04/01-04/15
2026-04-16;1000 Cash;8152.0;;Deposit - Corliss Marine INV-2212
2026-04-16;1100 Accounts Receivable;;8152.0;Deposit - Corliss Marine INV-2212
2026-04-16;1000 Cash;;9154.0;Pay BILL-3127 Clearbyte Cloud Services CHK#1005
2026-04-16;2000 Accounts Payable;9154.0;;Pay BILL-3127 Clearbyte Cloud Services CHK#1005
2026-04-17;1000 Cash;18080.0;;Deposit - Vesper Technologies INV-2213
2026-04-17;1100 Accounts Receivable;;18080.0;Deposit - Vesper Technologies INV-2213
2026-04-18;2000 Accounts Payable;;9455.0;BILL-3125 Lumen Office Supply
2026-04-18;6700 Office Supplies;9455.0;;BILL-3125 Lumen Office Supply
2026-04-18;2000 Accounts Payable;;7447.0;BILL-3128 Meridian Legal LLP
2026-04-18;6600 Professional Fees;7447.0;;BILL-3128 Meridian Legal LLP
2026-04-21;1100 Accounts Receivable;23614.0;;Invoice INV-2214 - Eastgate Collective
2026-04-21;4000 Subscription Revenue;;23614.0;Invoice INV-2214 - Eastgate Collective
2026-04-22;1000 Cash;;7447.0;Pay BILL-3128 Meridian Legal LLP CHK#1006
2026-04-22;2000 Accounts Payable;7447.0;;Pay BILL-3128 Meridian Legal LLP CHK#1006
2026-04-23;1000 Cash;29456.0;;Deposit - Yardley Supply INV-2215
2026-04-23;1100 Accounts Receivable;;29456.0;Deposit - Yardley Supply INV-2215
2026-04-28;1000 Cash;;62289.0;Payroll 2026-04/16-04/30
2026-04-28;2300 Payroll Liabilities;;17568.0;Payroll 2026-04/16-04/30
2026-04-28;6000 Salaries Expense;79857.0;;Payroll 2026-04/16-04/30
2026-04-28;1300 Prepaid Insurance;;149.0;Monthly insurance amortization
2026-04-28;6400 Insurance Expense;149.0;;Monthly insurance amortization
2026-04-28;1590 Accumulated Depreciation;;1069.51;Monthly depreciation
2026-04-28;6800 Depreciation Expense;1069.51;;Monthly depreciation
2026-05-01;1000 Cash;29913.0;;Deposit - Aldergate Insurance INV-2211
2026-05-01;1100 Accounts Receivable;;29913.0;Deposit - Aldergate Insurance INV-2211
2026-05-02;1100 Accounts Receivable;12087.0;;Invoice INV-2219 - Crestline Partners
2026-05-02;4000 Subscription Revenue;;12087.0;Invoice INV-2219 - Crestline Partners
2026-05-03;1100 Accounts Receivable;12930.0;;Invoice INV-2217 - Longmont Systems
