Date;transaction_description;Amount;balance
2026-05-31;OPENING BALANCE;;352285.15
2026-06-02;DEPOSIT LONGMONT SYS INV-2217;12930.0;365215.15
2026-06-06;CHECK #1012 AMBERFIELD PROPERTY;-7420.0;357795.15
2026-06-06;DEPOSIT LONGMONT SYS INV-2218;12371.0;370166.15
2026-06-07;DEPOSIT CRESTLINE PARTNERS INV-2219;12087.0;382253.15
2026-06-08;CHECK #1016 QUILLWARE TE;-336.0;381917.15
2026-06-10;DEPOSIT MARLOWE  FINCH;12257.0;394174.15
2026-06-12;INCOMING WIRE - MEMBER CONTRIBUTION;9784.0;403958.15
2026-06-15;PAYROLL ACH BATCH;-32438.0;371520.15
2026-06-21;DEPOSIT LONGMONT SYS INV-2225;17810.0;389330.15
2026-06-23;DEPOSIT EASTGATE COLLECTIVE INV-2224;20457.0;409787.15
2026-06-27;SERVICE FEE;-31.23;409755.92
2026-06-30;ENDING BALANCE;;409755.92
