posting_date;details;amount;balance
2026-05-31;OPENING BALANCE;;99817.59
2026-06-04;DEPOSIT HARTWELL GROUP;19481.0;119298.59
2026-06-07;CHECK #1010 AMBERFIELD PROPERTY;-7202.0;112096.59
2026-06-07;DEPOSIT LONGMONT SYSTEMS INV-2214;25434.0;137530.59
2026-06-08;CHECK #1017 LATTICE DESK;-876.0;136654.59
2026-06-08;DEPOSIT BROCKMAN  HA;4911.0;141565.59
2026-06-11;CHECK #1011 ZENITH FREIG;-2548.0;139017.59
2026-06-12;INCOMING WIRE - MEMBER CONTRIBUTION;19594.0;158611.59
2026-06-14;CHECK #1012 MERIDIAN LEGAL;-14615.61;143995.98
2026-06-15;PAYROLL ACH BATCH;-33711.0;110284.98
2026-06-19;CHECK #1014 FIRSTLANE LOGISTICS;-11471.44;98813.54
2026-06-24;CHECK #1016 KITE DIGITAL;-995.0;97818.54
2026-06-27;SERVICE FEE;-28.34;97790.2
2026-06-30;INTEREST CREDIT;29.73;97819.93
2026-06-30;ENDING BALANCE;;97819.93
