posting_date;Account;dr;Credit;Memo
2026-04-01;1000 Cash;159816.3;;Opening balances
2026-04-01;1300 Prepaid Insurance;882.0;;Opening balances
2026-04-01;1400 Inventory;70576.58;;Opening balances
2026-04-01;1500 Equipment;71054.0;;Opening balances
2026-04-01;1590 Accumulated Depreciation;;9473.84;Opening balances
2026-04-01;2000 Accounts Payable;;29973.43;Opening balances
2026-04-01;3000 Retained Earnings;;262881.61;Opening balances
2026-04-02;1100 Accounts Receivable;14993.0;;Invoice INV-2209 - Vesper Technologies
2026-04-02;4000 Product Sales;;14993.0;Invoice INV-2209 - Vesper Technologies
2026-04-02;1400 Inventory;;7220.0;COGS - INV-2209
2026-04-02;5000 Cost of Goods Sold;7220.0;;COGS - INV-2209
2026-04-03;1100 Accounts Receivable;18662.0;;Invoice INV-2206 - Underhill Logistics
2026-04-03;4100 Shipping Income;;18662.0;Invoice INV-2206 - Underhill Logistics
2026-04-03;1000 Cash;;7202.0;Rent - Amberfield Property Group
2026-04-03;6100 Rent Expense;7202.0;;Rent - Amberfield Property Group
2026-04-04;2000 Accounts Payable;;2717.0;BILL-3136 Helix IT Solutions
2026-04-04;6450 Software Expense;2717.0;;BILL-3136 Helix IT Solutions
2026-04-05;1100 Accounts Receivable;17998.0;;Invoice INV-2207 - Rosewood Retail
2026-04-05;4000 Product Sales;;17998.0;Invoice INV-2207 - Rosewood Retail
2026-04-05;1400 Inventory;;9685.0;COGS - INV-2207
2026-04-05;5000 Cost of Goods Sold;9685.0;;COGS - INV-2207
2026-04-06;1000 Cash;;14986.71;Payment on account - opening payables
2026-04-06;2000 Accounts Payable;14986.71;;Payment on account - opening payables
2026-04-06;2000 Accounts Payable;;6040.0;BILL-3138 Helix IT Solutions
2026-04-06;6450 Software Expense;6040.0;;BILL-3138 Helix IT Solutions
2026-04-07;1000 Cash;;2717.0;Pay BILL-3136 Helix IT Solutions CHK#1003
2026-04-07;2000 Accounts Payable;2717.0;;Pay BILL-3136 Helix IT Solutions CHK#1003
2026-04-10;1100 Accounts Receivable;24129.0;;Invoice INV-2208 - Rosewood Retail
2026-04-10;4000 Product Sales;;24129.0;Invoice INV-2208 - Rosewood Retail
2026-04-10;1400 Inventory;;10494.0;COGS - INV-2208
2026-04-10;5000 Cost of Goods Sold;10494.0;;COGS - INV-2208
2026-04-10;2000 Accounts Payable;;489.0;BILL-3135 Pillar Accounting Services
2026-04-10;6600 Professional Fees;489.0;;BILL-3135 Pillar Accounting Services
2026-04-15;1100 Accounts Receivable;21006.0;;Invoice INV-2205 - Underhill Logistics
2026-04-15;4000 Product Sales;;21006.0;Invoice INV-2205 - Underhill Logistics
2026-04-15;1400 Inventory;;9555.0;COGS - INV-2205
2026-04-15;5000 Cost of Goods Sold;9555.0;;COGS - INV-2205
2026-04-15;1000 Cash;;22568.0;Payroll 2026-04/01-04/15
2026-04-15;2300 Payroll Liabilities;;6365.0;Payroll 2026-04/01-04/15
2026-04-15;6000 Salaries Expense;28933.0;;Payroll 2026-04/01-04/15
2026-04-16;1000 Cash;14993.0;;Deposit - Vesper Technologies INV-2209
2026-04-16;1100 Accounts Receivable;;14993.0;Deposit - Vesper Technologies INV-2209
2026-04-16;2000 Accounts Payable;;6021.0;BILL-3134 Zenith Freight Lines
2026-04-16;5100 Freight & Shipping;6021.0;;BILL-3134 Zenith Freight Lines
2026-04-16;2000 Accounts Payable;;3188.0;BILL-3139 Bright Harbor Media
2026-04-16;6200 Advertising & Marketing;3188.0;;BILL-3139 Bright Harbor Media
2026-04-17;1000 Cash;18662.0;;Deposit - Underhill Logistics INV-2206
2026-04-17;1100 Accounts Receivable;;18662.0;Deposit - Underhill Logistics INV-2206
2026-04-20;1000 Cash;;3188.0;Pay BILL-3139 Bright Harbor Media CHK#1005
2026-04-20;2000 Accounts Payable;3188.0;;Pay BILL-3139 Bright Harbor Media CHK#1005
2026-04-21;1000 Cash;17998.0;;Deposit - Rosewood Retail INV-2207
2026-04-21;1100 Accounts Receivable;;17998.0;Deposit - Rosewood Retail INV-2207
2026-04-21;2000 Accounts Payable;;638.0;BILL-3137 Zenith Freight Lines
2026-04-21;5100 Freight & Shipping;638.0;;BILL-3137 Zenith Freight Lines
2026-04-23;1100 Accounts Receivable;10745.0;;Invoice INV-2204 - Pinehurst Digital
2026-04-23;4100 Shipping Income;;10745.0;Invoice INV-2204 - Pinehurst Digital
2026-04-24;1000 Cash;;6021.0;Pay BILL-3134 Zenith Freight Lines CHK#1004
2026-04-24;2000 Accounts Payable;6021.0;;Pay BILL-3134 Zenith Freight Lines CHK#1004
2026-04-28;1000 Cash;;22537.0;Payroll 2026-04/16-04/30
2026-04-28;2300 Payroll Liabilities;;6356.0;Payroll 2026-04/16-04/30
2026-04-28;6000 Salaries Expense;28893.0;;Payroll 2026-04/16-04/30
2026-04-28;1300 Prepaid Insurance;;98.0;Monthly insurance amortization
2026-04-28;6400 Insurance Expense;98.0;;Monthly insurance amortization
2026-04-28;1590 Accumulated Depreciation;;1184.23;Monthly depreciation
2026-04-28;6800 Depreciation Expense;1184.23;;Monthly depreciation
2026-05-02;1100 Accounts Receivable;9078.0;;Invoice INV-2211 - Rosewood Retail
2026-05-02;4000 Product Sales;;9078.0;Invoice INV-2211 - Rosewood Retail
2026-05-02;1400 Inventory;;4221.0;COGS - INV-2211
2026-05-02;5000 Cost of Goods Sold;4221.0;;COGS - INV-2211
2026-05-03;1000 Cash;21006.0;;Deposit - Underhill Logistics INV-2205
2026-05-03;1100 Accounts Receivable;;21006.0;Deposit - Underhill Logistics INV-2205
2026-05-03;1000 Cash;;7202.0;Rent - Amberfield Property Group
2026-05-03;6100 Rent Expense;7202.0;;Rent - Amberfield Property Group
2026-05-05;2000 Accounts Payable;;5769.0;BILL-3144 Ridgeline Telecom
2026-05-05;6500 Utilities Expense;5769.0;;BILL-3144 Ridgeline Telecom
2026-05-08;1000 Cash;24129.0;;Deposit - Rosewood Retail INV-2208
2026-05-08;1100 Accounts Receivable;;24129.0;Deposit - Rosewood Retail INV-2208
2026-05-08;2000 Accounts Payable;;5294.0;BILL-3143 Zenith Freight Lines
