posting_date,transaction_description,Amount,balance
05/31/2026,OPENING BALANCE,,182528.88
06/02/2026,DEPOSIT ATLAS VERDE,43006.0,225534.88
06/05/2026,DEPOSIT ATLAS VERDE INV-2239,37429.0,262963.88
06/06/2026,CHECK #1009 HARBORSTONE REALTY,-13278.0,249685.88
06/08/2026,CHECK #1016 QUILLWARE TECHNOLOGIES,-1056.0,248629.88
06/10/2026,CHECK #1010 KITE DIGITAL,-4864.0,243765.88
06/12/2026,DEPOSIT BIRCHFIELD FOODS INV-2238,35139.0,278904.88
06/12/2026,INCOMING WIRE - MEMBER CONTRIBUTION,17367.0,296271.88
06/14/2026,CHECK #1012 TRELLIS MARK,-19846.73,276425.15
06/15/2026,PAYROLL ACH BATCH,-53040.0,223385.15
06/20/2026,DEPOSIT NORDICA LABS,17950.0,241335.15
06/21/2026,DEPOSIT SILVERTHORNE INV-2237,27162.0,268497.15
06/25/2026,CHECK #1014 QUICKSILVER COURIERS,-4709.0,263788.15
06/27/2026,SERVICE FEE,-63.99,263724.16
06/28/2026,CHECK #1015 TRELLIS MARK,-3936.0,259788.16
06/28/2026,PAYROLL ACH BATCH,-52986.0,206802.16
06/30/2026,ENDING BALANCE,,206802.16
