date;description;amt;balance
05/31/2026;OPENING BALANCE;;144785.23
06/09/2026;CHECK #1008 HARBORSTONE;-3511.0;141274.23
06/09/2026;DEPOSIT PINEHURST DI INV-2229;17664.0;158938.23
06/11/2026;DEPOSIT BROCKMAN  HALE INV-2227;20413.0;179351.23
06/11/2026;DEPOSIT VESPER TECHN;3353.0;182704.23
06/12/2026;DEPOSIT MARLOWE  FINCH;19439.0;202143.23
06/12/2026;INCOMING WIRE - MEMBER CONTRIBUTION;19682.0;221825.23
06/15/2026;CHECK #1009 MERIDIAN LEG;-2473.0;219352.23
06/15/2026;PAYROLL ACH BATCH;-20171.0;199181.23
06/24/2026;CHECK #1011 MERIDIAN LEGAL;-9011.3;190169.93
06/26/2026;CHECK #1013 KITE DIGITAL;-7326.48;182843.45
06/26/2026;CHECK #1014 DELTA FACILITY;-1152.0;181691.45
06/27/2026;SERVICE FEE;-35.31;181656.14
06/28/2026;WIRE FEE;-60.48;181595.66
06/30/2026;INTEREST CREDIT;22.86;181618.52
06/30/2026;ENDING BALANCE;;181618.52
