date;Account;dr;cr;Memo
04/01/2026;1000 Cash;201733.92;;Opening balances
04/01/2026;1300 Prepaid Insurance;1242.0;;Opening balances
04/01/2026;1500 Equipment;169468.0;;Opening balances
04/01/2026;1590 Accumulated Depreciation;;53664.74;Opening balances
04/01/2026;2000 Accounts Payable;;31743.38;Opening balances
04/01/2026;3000 Retained Earnings;;287035.8;Opening balances
04/01/2026;1100 Accounts Receivable;12617.0;;Invoice INV-2222 - Marlowe & Finch
04/01/2026;4000 Consulting Revenue;;12617.0;Invoice INV-2222 - Marlowe & Finch
04/03/2026;1000 Cash;;3511.0;Rent - Harborstone Realty Partners
04/03/2026;6100 Rent Expense;3511.0;;Rent - Harborstone Realty Partners
04/04/2026;2000 Accounts Payable;;4637.0;BILL-3122 Ridgeline Telecom
04/04/2026;6500 Utilities Expense;4637.0;;BILL-3122 Ridgeline Telecom
04/06/2026;1000 Cash;;15871.69;Payment on account - opening payables
04/06/2026;2000 Accounts Payable;15871.69;;Payment on account - opening payables
04/07/2026;2000 Accounts Payable;;4639.0;BILL-3127 Inkwell Print Co.
04/07/2026;6700 Office Supplies;4639.0;;BILL-3127 Inkwell Print Co.
04/09/2026;2000 Accounts Payable;;4664.0;BILL-3126 Bright Harbor Media
04/09/2026;6200 Advertising & Marketing;4664.0;;BILL-3126 Bright Harbor Media
04/10/2026;2000 Accounts Payable;;4634.0;BILL-3125 Trellis Marketing Group
04/10/2026;6200 Advertising & Marketing;4634.0;;BILL-3125 Trellis Marketing Group
04/11/2026;1100 Accounts Receivable;11394.0;;Invoice INV-2224 - Kelso Brands
04/11/2026;4000 Consulting Revenue;;11394.0;Invoice INV-2224 - Kelso Brands
04/12/2026;2000 Accounts Payable;;3409.0;BILL-3123 Lumen Office Supply
04/12/2026;6700 Office Supplies;3409.0;;BILL-3123 Lumen Office Supply
04/12/2026;2000 Accounts Payable;;858.0;BILL-3124 Ridgeline Telecom
04/12/2026;6500 Utilities Expense;858.0;;BILL-3124 Ridgeline Telecom
04/15/2026;1000 Cash;;26408.0;Payroll 2026-04/01-04/15
04/15/2026;2300 Payroll Liabilities;;7448.0;Payroll 2026-04/01-04/15
04/15/2026;6000 Salaries Expense;33856.0;;Payroll 2026-04/01-04/15
04/17/2026;1100 Accounts Receivable;4672.0;;Invoice INV-2223 - Longmont Systems
04/17/2026;4000 Consulting Revenue;;4672.0;Invoice INV-2223 - Longmont Systems
04/18/2026;1000 Cash;;4664.0;Pay BILL-3126 Bright Harbor Media CHK#1003
04/18/2026;2000 Accounts Payable;4664.0;;Pay BILL-3126 Bright Harbor Media CHK#1003
04/19/2026;1100 Accounts Receivable;13606.0;;Invoice INV-2225 - Marlowe & Finch
04/19/2026;4100 Retainer Revenue;;13606.0;Invoice INV-2225 - Marlowe & Finch
