date;Account;Debit;Credit;description
2026-04-01;1000 Cash;497401.37;;Opening balances
2026-04-01;1300 Prepaid Insurance;1332.0;;Opening balances
2026-04-01;1400 Inventory;88647.47;;Opening balances
2026-04-01;1500 Equipment;65686.0;;Opening balances
2026-04-01;1590 Accumulated Depreciation;;12042.36;Opening balances
2026-04-01;2000 Accounts Payable;;60638.08;Opening balances
2026-04-01;3000 Retained Earnings;;580386.4;Opening balances
2026-04-01;1100 Accounts Receivable;32071.0;;Invoice INV-2204 - Tamarack Health
2026-04-01;4100 Shipping Income;;32071.0;Invoice INV-2204 - Tamarack Health
2026-04-03;1000 Cash;;9419.0;Rent - Amberfield Property Group
2026-04-03;6100 Rent Expense;9419.0;;Rent - Amberfield Property Group
2026-04-03;2000 Accounts Payable;;10765.0;BILL-3127 Lumen Office Supply
2026-04-03;6700 Office Supplies;10765.0;;BILL-3127 Lumen Office Supply
2026-04-05;1100 Accounts Receivable;29524.0;;Invoice INV-2205 - Yardley Supply
2026-04-05;4000 Product Sales;;29524.0;Invoice INV-2205 - Yardley Supply
2026-04-05;1400 Inventory;;12467.0;COGS - INV-2205
2026-04-05;5000 Cost of Goods Sold;12467.0;;COGS - INV-2205
2026-04-06;1000 Cash;;30319.04;Payment on account - opening payables
2026-04-06;2000 Accounts Payable;30319.04;;Payment on account - opening payables
2026-04-08;1100 Accounts Receivable;44778.0;;Invoice INV-2203 - Brockman & Hale
2026-04-08;4000 Product Sales;;44778.0;Invoice INV-2203 - Brockman & Hale
2026-04-08;1400 Inventory;;23958.0;COGS - INV-2203
2026-04-08;5000 Cost of Goods Sold;23958.0;;COGS - INV-2203
2026-04-08;1100 Accounts Receivable;30625.0;;Invoice INV-2206 - Hartwell Group
2026-04-08;4100 Shipping Income;;30625.0;Invoice INV-2206 - Hartwell Group
2026-04-10;1000 Cash;;10765.0;Pay BILL-3127 Lumen Office Supply CHK#1003
2026-04-10;2000 Accounts Payable;10765.0;;Pay BILL-3127 Lumen Office Supply CHK#1003
2026-04-10;2000 Accounts Payable;;4161.0;BILL-3128 Trellis Marketing Group
2026-04-10;6200 Advertising & Marketing;4161.0;;BILL-3128 Trellis Marketing Group
2026-04-13;1000 Cash;;4161.0;Pay BILL-3128 Trellis Marketing Group CHK#1004
2026-04-13;2000 Accounts Payable;4161.0;;Pay BILL-3128 Trellis Marketing Group CHK#1004
2026-04-15;1000 Cash;;45015.0;Payroll 2026-04/01-04/15
2026-04-15;2300 Payroll Liabilities;;12696.0;Payroll 2026-04/01-04/15
2026-04-15;6000 Salaries Expense;57711.0;;Payroll 2026-04/01-04/15
2026-04-16;2000 Accounts Payable;;9255.0;BILL-3126 Ridgeline Telecom
2026-04-16;6500 Utilities Expense;9255.0;;BILL-3126 Ridgeline Telecom
2026-04-17;2000 Accounts Payable;;6560.0;BILL-3124 Willow Creek Packaging
2026-04-17;5100 Freight & Shipping;6560.0;;BILL-3124 Willow Creek Packaging
2026-04-20;2000 Accounts Payable;;10504.0;BILL-3125 Ridgeline Telecom
2026-04-20;6500 Utilities Expense;10504.0;;BILL-3125 Ridgeline Telecom
2026-04-24;1100 Accounts Receivable;24991.0;;Invoice INV-2207 - Dunmore Holdings
2026-04-24;4100 Shipping Income;;24991.0;Invoice INV-2207 - Dunmore Holdings
2026-04-25;1000 Cash;;9255.0;Pay BILL-3126 Ridgeline Telecom CHK#1005
2026-04-25;2000 Accounts Payable;9255.0;;Pay BILL-3126 Ridgeline Telecom CHK#1005
2026-04-28;1000 Cash;;45062.0;Payroll 2026-04/16-04/30
2026-04-28;2300 Payroll Liabilities;;12709.0;Payroll 2026-04/16-04/30
2026-04-28;6000 Salaries Expense;57771.0;;Payroll 2026-04/16-04/30
2026-04-28;1300 Prepaid Insurance;;148.0;Monthly insurance amortization
2026-04-28;6400 Insurance Expense;148.0;;Monthly insurance amortization
2026-04-28;1590 Accumulated Depreciation;;1094.76;Monthly depreciation
2026-04-28;6800 Depreciation Expense;1094.76;;Monthly depreciation
2026-05-03;1000 Cash;32071.0;;Deposit - Tamarack Health INV-2204
2026-05-03;1100 Accounts Receivable;;32071.0;Deposit - Tamarack Health INV-2204
2026-05-03;1000 Cash;;9419.0;Rent - Amberfield Property Group
2026-05-03;6100 Rent Expense;9419.0;;Rent - Amberfield Property Group
2026-05-04;1000 Cash;29524.0;;Deposit - Yardley Supply INV-2205
2026-05-04;1100 Accounts Receivable;;29524.0;Deposit - Yardley Supply INV-2205
2026-05-05;1100 Accounts Receivable;21027.0;;Invoice INV-2208 - Yardley Supply
2026-05-05;4000 Product Sales;;21027.0;Invoice INV-2208 - Yardley Supply
2026-05-05;1400 Inventory;;8974.0;COGS - INV-2208
2026-05-05;5000 Cost of Goods Sold;8974.0;;COGS - INV-2208
2026-05-06;2000 Accounts Payable;;3977.0;BILL-3129 Ridgeline Telecom
2026-05-06;6500 Utilities Expense;3977.0;;BILL-3129 Ridgeline Telecom
2026-05-07;2000 Accounts Payable;;7117.0;BILL-3130 Bright Harbor Media
2026-05-07;6200 Advertising & Marketing;7117.0;;BILL-3130 Bright Harbor Media
2026-05-08;1000 Cash;24991.0;;Deposit - Dunmore Holdings INV-2207
2026-05-08;1100 Accounts Receivable;;24991.0;Deposit - Dunmore Holdings INV-2207
2026-05-08;1100 Accounts Receivable;24296.0;;Invoice INV-2214 - Dunmore Holdings
2026-05-08;4000 Product Sales;;24296.0;Invoice INV-2214 - Dunmore Holdings
2026-05-08;1400 Inventory;;12087.0;COGS - INV-2214
2026-05-08;5000 Cost of Goods Sold;12087.0;;COGS - INV-2214
2026-05-08;2000 Accounts Payable;;7036.0;BILL-3132 Uptown Catering Co.
2026-05-08;6700 Office Supplies;7036.0;;BILL-3132 Uptown Catering Co.
2026-05-10;1000 Cash;44778.0;;Deposit - Brockman & Hale INV-2203
2026-05-10;1100 Accounts Receivable;;44778.0;Deposit - Brockman & Hale INV-2203
2026-05-10;2000 Accounts Payable;;8993.0;BILL-3131 Firstlane Logistics
2026-05-10;5100 Freight & Shipping;8993.0;;BILL-3131 Firstlane Logistics
2026-05-11;1000 Cash;30625.0;;Deposit - Hartwell Group INV-2206
2026-05-11;1100 Accounts Receivable;;30625.0;Deposit - Hartwell Group INV-2206
2026-05-11;1000 Cash;;7117.0;Pay BILL-3130 Bright Harbor Media CHK#1008
2026-05-11;2000 Accounts Payable;7117.0;;Pay BILL-3130 Bright Harbor Media CHK#1008
2026-05-12;1000 Cash;;3977.0;Pay BILL-3129 Ridgeline Telecom CHK#1007
2026-05-12;2000 Accounts Payable;3977.0;;Pay BILL-3129 Ridgeline Telecom CHK#1007
2026-05-15;1000 Cash;;8993.0;Pay BILL-3131 Firstlane Logistics CHK#1009
2026-05-15;2000 Accounts Payable;8993.0;;Pay BILL-3131 Firstlane Logistics CHK#1009
2026-05-15;1000 Cash;;66966.0;Payroll 2026-05/01-05/15
2026-05-15;2300 Payroll Liabilities;;18887.0;Payroll 2026-05/01-05/15
2026-05-15;6000 Salaries Expense;85853.0;;Payroll 2026-05/01-05/15
2026-05-18;1100 Accounts Receivable;41793.0;;Invoice INV-2211 - Quimby Ventures
2026-05-18;4000 Product Sales;;41793.0;Invoice INV-2211 - Quimby Ventures
2026-05-18;1400 Inventory;;18019.0;COGS - INV-2211
2026-05-18;5000 Cost of Goods Sold;18019.0;;COGS - INV-2211
2026-05-21;1100 Accounts Receivable;35680.0;;Invoice INV-2209 - Glenrock Solutions
2026-05-21;4000 Product Sales;;35680.0;Invoice INV-2209 - Glenrock Solutions
2026-05-21;1400 Inventory;;18876.0;COGS - INV-2209
2026-05-21;5000 Cost of Goods Sold;18876.0;;COGS - INV-2209
2026-05-21;1100 Accounts Receivable;44228.0;;Invoice INV-2210 - Yardley Supply
2026-05-21;4000 Product Sales;;44228.0;Invoice INV-2210 - Yardley Supply
2026-05-21;1400 Inventory;;24926.0;COGS - INV-2210
2026-05-21;5000 Cost of Goods Sold;24926.0;;COGS - INV-2210
2026-05-24;1000 Cash;21027.0;;Deposit - Yardley Supply INV-2208
2026-05-24;1100 Accounts Receivable;;21027.0;Deposit - Yardley Supply INV-2208
2026-05-24;1100 Accounts Receivable;32439.0;;Invoice INV-2212 - Quimby Ventures
2026-05-24;4000 Product Sales;;32439.0;Invoice INV-2212 - Quimby Ventures
2026-05-24;1400 Inventory;;14240.0;COGS - INV-2212
2026-05-24;5000 Cost of Goods Sold;14240.0;;COGS - INV-2212
2026-05-24;1100 Accounts Receivable;15716.0;;Invoice INV-2213 - Quimby Ventures
2026-05-24;4100 Shipping Income;;15716.0;Invoice INV-2213 - Quimby Ventures
2026-05-28;1000 Cash;;67114.0;Payroll 2026-05/16-05/30
2026-05-28;2300 Payroll Liabilities;;18929.0;Payroll 2026-05/16-05/30
2026-05-28;6000 Salaries Expense;86043.0;;Payroll 2026-05/16-05/30
2026-05-28;1300 Prepaid Insurance;;148.0;Monthly insurance amortization
2026-05-28;6400 Insurance Expense;148.0;;Monthly insurance amortization
2026-05-28;1590 Accumulated Depreciation;;1094.76;Monthly depreciation
2026-05-28;6800 Depreciation Expense;1094.76;;Monthly depreciation
2026-06-03;1100 Accounts Receivable;42235.0;;Invoice INV-2221 - Dunmore Holdings
2026-06-03;4000 Product Sales;;42235.0;Invoice INV-2221 - Dunmore Holdings
2026-06-03;1400 Inventory;;22482.0;COGS - INV-2221
2026-06-03;5000 Cost of Goods Sold;22482.0;;COGS - INV-2221
2026-06-03;1000 Cash;;9419.0;Rent - Amberfield Property Group
2026-06-03;6100 Rent Expense;9419.0;;Rent - Amberfield Property Group
2026-06-03;2000 Accounts Payable;;7203.0;BILL-3134 Kite Digital Ads
2026-06-03;6200 Advertising & Marketing;7203.0;;BILL-3134 Kite Digital Ads
2026-06-05;1100 Accounts Receivable;25697.0;;Invoice INV-2215 - Glenrock Solutions
2026-06-05;4000 Product Sales;;25697.0;Invoice INV-2215 - Glenrock Solutions
2026-06-05;1400 Inventory;;14311.0;COGS - INV-2215
2026-06-05;5000 Cost of Goods Sold;14311.0;;COGS - INV-2215
2026-06-05;2000 Accounts Payable;;17472.96;BILL-3138 Pillar Accounting Services
2026-06-05;6600 Professional Fees;17472.96;;BILL-3138 Pillar Accounting Services
2026-06-06;2000 Accounts Payable;;12988.69;BILL-3139 Zenith Freight Lines
2026-06-06;5100 Freight & Shipping;12988.69;;BILL-3139 Zenith Freight Lines
2026-06-07;1100 Accounts Receivable;45554.0;;Invoice INV-2217 - Yardley Supply
2026-06-07;4100 Shipping Income;;45554.0;Invoice INV-2217 - Yardley Supply
