date;transaction_description;amount;balance
2026-05-31;OPENING BALANCE;;362835.33
2026-06-05;CHECK #1010 AMBERFIELD PROPERTY;-9419.0;353416.33
2026-06-10;DEPOSIT QUIMBY VENTU;32439.0;385855.33
2026-06-12;INCOMING WIRE - MEMBER CONTRIBUTION;9377.0;395232.33
2026-06-14;CHECK #1014 TRELLIS MARK;-23909.92;371322.41
2026-06-14;DEPOSIT GLENROCK SOLUTIONS INV-2209;35680.0;407002.41
2026-06-15;DEPOSIT DUNMORE HOLD;24296.0;431298.41
2026-06-15;DEPOSIT QUIMBY VENTU;41793.0;473091.41
2026-06-15;PAYROLL ACH BATCH;-46649.0;426442.41
2026-06-19;CHECK #1012 PILLAR ACCOU;-17472.96;408969.45
2026-06-25;CHECK #1015 JUNCTION UTILITY;-9419.0;399550.45
2026-06-27;SERVICE FEE;-63.87;399486.58
2026-06-28;CHECK #1017 CLOUDSPAN HOSTING;-4332.0;395154.58
2026-06-30;INTEREST CREDIT;14.19;395168.77
2026-06-30;ENDING BALANCE;;395168.77
