date,details,amt,balance
05/31/2026,OPENING BALANCE,,303336.06
06/06/2026,CHECK #1013 AMBERFIELD PROPERTY,-12111.0,291225.06
06/06/2026,DEPOSIT CORLISS MARINE INV-2249,39850.0,331075.06
06/08/2026,CHECK #1021 CLEARSTACK S,-384.0,330691.06
06/10/2026,DEPOSIT FERRELL INDU,15269.0,345960.06
06/10/2026,DEPOSIT TAMARACK HEALTH,38052.0,384012.06
06/12/2026,DEPOSIT CORLISS MARINE INV-2247,30796.0,414808.06
06/12/2026,INCOMING WIRE - MEMBER CONTRIBUTION,19916.0,434724.06
06/15/2026,PAYROLL ACH BATCH,-36237.0,398487.06
06/21/2026,DEPOSIT TAMARACK HEALTH INV-2246,13378.0,411865.06
06/25/2026,CHECK #1014 ZENITH FREIG,-10235.77,401629.29
06/25/2026,DEPOSIT SILVERTHORNE,28890.0,430519.29
06/27/2026,CHECK #1017 PILLAR ACCOUNTING,-26975.69,403543.6
06/27/2026,SERVICE FEE,-30.79,403512.81
06/28/2026,CHECK #1018 TRELLIS MARK,-700.0,402812.81
06/28/2026,CHECK #1020 HELIX IT,-3271.0,399541.81
06/28/2026,WIRE FEE,-35.11,399506.7
06/30/2026,INTEREST CREDIT,13.08,399519.78
06/30/2026,ENDING BALANCE,,399519.78
