date,Account,Debit,credit,memo
04/01/2026,1000 Cash,379281.91,,Opening balances
04/01/2026,1300 Prepaid Insurance,1512.0,,Opening balances
04/01/2026,1400 Inventory,104895.12,,Opening balances
04/01/2026,1500 Equipment,100741.0,,Opening balances
04/01/2026,1590 Accumulated Depreciation,,33580.2,Opening balances
04/01/2026,2000 Accounts Payable,,52819.71,Opening balances
04/01/2026,3000 Retained Earnings,,500030.12,Opening balances
04/03/2026,1000 Cash,,12111.0,Rent - Amberfield Property Group
04/03/2026,6100 Rent Expense,12111.0,,Rent - Amberfield Property Group
04/03/2026,2000 Accounts Payable,,9633.0,BILL-3110 Junction Utility Co-op
04/03/2026,6500 Utilities Expense,9633.0,,BILL-3110 Junction Utility Co-op
04/04/2026,1100 Accounts Receivable,14642.0,,Invoice INV-2240 - Underhill Logistics
04/04/2026,4000 Wholesale Sales,,14642.0,Invoice INV-2240 - Underhill Logistics
04/04/2026,1400 Inventory,,6467.0,COGS - INV-2240
04/04/2026,5000 Cost of Goods Sold,6467.0,,COGS - INV-2240
04/06/2026,1000 Cash,,26409.85,Payment on account - opening payables
04/06/2026,2000 Accounts Payable,26409.85,,Payment on account - opening payables
04/07/2026,2000 Accounts Payable,,3413.0,BILL-3115 Ridgeline Telecom
04/07/2026,6500 Utilities Expense,3413.0,,BILL-3115 Ridgeline Telecom
04/08/2026,2000 Accounts Payable,,5155.0,BILL-3111 CloudSpan Hosting
04/08/2026,6450 Software Expense,5155.0,,BILL-3111 CloudSpan Hosting
04/11/2026,1000 Cash,,3413.0,Pay BILL-3115 Ridgeline Telecom CHK#1003
04/11/2026,2000 Accounts Payable,3413.0,,Pay BILL-3115 Ridgeline Telecom CHK#1003
04/14/2026,1100 Accounts Receivable,32848.0,,Invoice INV-2239 - Hartwell Group
04/14/2026,4000 Wholesale Sales,,32848.0,Invoice INV-2239 - Hartwell Group
04/14/2026,1400 Inventory,,14497.0,COGS - INV-2239
04/14/2026,5000 Cost of Goods Sold,14497.0,,COGS - INV-2239
04/15/2026,1000 Cash,,36267.0,Payroll 2026-04/01-04/15
04/15/2026,2300 Payroll Liabilities,,10228.0,Payroll 2026-04/01-04/15
04/15/2026,6000 Salaries Expense,46495.0,,Payroll 2026-04/01-04/15
04/17/2026,2000 Accounts Payable,,1414.0,BILL-3112 Ridgeline Telecom
04/17/2026,6500 Utilities Expense,1414.0,,BILL-3112 Ridgeline Telecom
04/18/2026,1100 Accounts Receivable,25943.0,,Invoice INV-2237 - Vesper Technologies
04/18/2026,4100 Delivery Fees,,25943.0,Invoice INV-2237 - Vesper Technologies
