posting_date;description;amt;balance
2026-05-31;OPENING BALANCE;;237992.41
2026-06-04;DEPOSIT QUIMBY VENTU;21618.0;259610.41
2026-06-09;CHECK #1011 HARBORSTONE REALTY;-12816.0;246794.41
2026-06-11;CHECK #1013 TRELLIS MARK;-6164.0;240630.41
2026-06-12;INCOMING WIRE - MEMBER CONTRIBUTION;13557.0;254187.41
2026-06-15;PAYROLL ACH BATCH;-30554.0;223633.41
2026-06-16;CHECK #1012 JUNCTION UTI;-7265.0;216368.41
2026-06-16;DEPOSIT VESPER TECHN INV-2233;40190.0;256558.41
2026-06-17;CHECK #1014 PILLAR ACCOUNTING;-751.0;255807.41
2026-06-18;CHECK #1015 PILLAR ACCOU;-25041.97;230765.44
2026-06-27;SERVICE FEE;-43.92;230721.52
2026-06-28;PAYROLL ACH BATCH;-30530.0;200191.52
2026-06-28;WIRE FEE;-56.38;200135.14
2026-06-30;ENDING BALANCE;;200135.14
