posting_date;account;dr;cr;Memo
2026-04-01;1000 Cash;379807.4;;Opening balances
2026-04-01;1300 Prepaid Insurance;1431.0;;Opening balances
2026-04-01;1500 Equipment;159641.0;;Opening balances
2026-04-01;1590 Accumulated Depreciation;;42570.88;Opening balances
2026-04-01;2000 Accounts Payable;;59609.99;Opening balances
2026-04-01;3000 Retained Earnings;;438698.53;Opening balances
2026-04-03;1000 Cash;;12816.0;Rent - Harborstone Realty Partners
2026-04-03;6100 Rent Expense;12816.0;;Rent - Harborstone Realty Partners
2026-04-03;2000 Accounts Payable;;1210.0;BILL-3131 Pillar Accounting Services
2026-04-03;6600 Professional Fees;1210.0;;BILL-3131 Pillar Accounting Services
2026-04-04;2000 Accounts Payable;;4627.0;BILL-3132 Helix IT Solutions
2026-04-04;6450 Software Expense;4627.0;;BILL-3132 Helix IT Solutions
2026-04-06;1000 Cash;;29804.99;Payment on account - opening payables
2026-04-06;2000 Accounts Payable;29804.99;;Payment on account - opening payables
2026-04-07;1100 Accounts Receivable;23414.0;;Invoice INV-2227 - Vesper Technologies
2026-04-07;4100 Retainer Revenue;;23414.0;Invoice INV-2227 - Vesper Technologies
2026-04-11;1000 Cash;;1210.0;Pay BILL-3131 Pillar Accounting Services CHK#1003
2026-04-11;2000 Accounts Payable;1210.0;;Pay BILL-3131 Pillar Accounting Services CHK#1003
2026-04-12;1000 Cash;;4627.0;Pay BILL-3132 Helix IT Solutions CHK#1004
2026-04-12;2000 Accounts Payable;4627.0;;Pay BILL-3132 Helix IT Solutions CHK#1004
2026-04-15;2000 Accounts Payable;;7628.0;BILL-3133 Uptown Catering Co.
2026-04-15;6700 Office Supplies;7628.0;;BILL-3133 Uptown Catering Co.
2026-04-15;1000 Cash;;50101.0;Payroll 2026-04/01-04/15
2026-04-15;2300 Payroll Liabilities;;14130.0;Payroll 2026-04/01-04/15
2026-04-15;6000 Salaries Expense;64231.0;;Payroll 2026-04/01-04/15
2026-04-16;1100 Accounts Receivable;32922.0;;Invoice INV-2228 - Marlowe & Finch
2026-04-16;4000 Consulting Revenue;;32922.0;Invoice INV-2228 - Marlowe & Finch
2026-04-19;2000 Accounts Payable;;1203.0;BILL-3134 Junction Utility Co-op
2026-04-19;6500 Utilities Expense;1203.0;;BILL-3134 Junction Utility Co-op
2026-04-20;1100 Accounts Receivable;13017.0;;Invoice INV-2230 - Hartwell Group
2026-04-20;4100 Retainer Revenue;;13017.0;Invoice INV-2230 - Hartwell Group
2026-04-20;2000 Accounts Payable;;3375.0;BILL-3136 Delta Facility Services
2026-04-20;6700 Office Supplies;3375.0;;BILL-3136 Delta Facility Services
2026-04-22;1100 Accounts Receivable;6557.0;;Invoice INV-2229 - Ivywood Enterprises
2026-04-22;4100 Retainer Revenue;;6557.0;Invoice INV-2229 - Ivywood Enterprises
2026-04-22;2000 Accounts Payable;;823.0;BILL-3135 Lumen Office Supply
2026-04-22;6700 Office Supplies;823.0;;BILL-3135 Lumen Office Supply
2026-04-28;1000 Cash;;3375.0;Pay BILL-3136 Delta Facility Services CHK#1005
2026-04-28;2000 Accounts Payable;3375.0;;Pay BILL-3136 Delta Facility Services CHK#1005
