account_number;account_name;debit_balance;credit_balance
1000;Cash;236783.51;
1100;Accounts Receivable;136014.0;
1300;Prepaid Insurance;1113.0;
1310;Prepaid Software;;
1500;Equipment;159641.0;
1590;Accumulated Depreciation;;47892.24
2000;Accounts Payable;;42307.0
2100;Accrued Liabilities;;
2300;Payroll Liabilities;;61617.0
3000;Retained Earnings;;452255.53
4000;Consulting Revenue;;254119.0
4100;Retainer Revenue;;100732.0
6000;Salaries Expense;280090.0;
6100;Rent Expense;38448.0;
6200;Advertising & Marketing;19939.93;
6400;Insurance Expense;318.0;
6450;Software Expense;15173.0;
6500;Utilities Expense;21088.0;
6600;Professional Fees;27002.97;
6700;Office Supplies;17990.0;
6800;Depreciation Expense;5321.36;
6900;Bank Fees;;
7100;Interest Income;;
