date,description,Amount,balance
05/31/2026,OPENING BALANCE,,120730.4
06/08/2026,CHECK #1018 LATTICE DESK,-948.0,119782.4
06/09/2026,CHECK #1008 GRANDVIEW PR,-5667.0,114115.4
06/10/2026,DEPOSIT SILVERTHORNE MEDIA INV-2216,21215.0,135330.4
06/10/2026,DEPOSIT VESPER TECHN,5762.0,141092.4
06/12/2026,INCOMING WIRE - MEMBER CONTRIBUTION,5983.0,147075.4
06/13/2026,DEPOSIT NORDICA LABS INV-2218,11381.0,158456.4
06/15/2026,DEPOSIT VESPER TECHN INV-2214,16151.0,174607.4
06/15/2026,PAYROLL ACH BATCH,-39731.0,134876.4
06/17/2026,CHECK #1010 UPTOWN CATERING,-4747.0,130129.4
06/19/2026,DEPOSIT NORDICA LABS INV-2217,9466.0,139595.4
06/26/2026,CHECK #1011 TRELLIS MARKETING,-5278.0,134317.4
06/27/2026,CHECK #1012 HELIX IT,-5736.0,128581.4
06/27/2026,SERVICE FEE,-55.47,128525.93
06/28/2026,CHECK #1015 PILLAR ACCOU,-1574.0,126951.93
06/28/2026,CHECK #1016 BRIGHT HARBOR,-481.0,126470.93
06/28/2026,WIRE FEE,-64.28,126406.65
06/30/2026,INTEREST CREDIT,20.07,126426.72
06/30/2026,ENDING BALANCE,,126426.72
