txn_date,details,amount,balance
2026-05-31,OPENING BALANCE,,189213.93
2026-06-02,DEPOSIT ROSEWOOD RET INV-2235,22738.0,211951.93
2026-06-06,CHECK #1008 GRANDVIEW PROPERTIES,-6001.0,205950.93
2026-06-08,CHECK #1017 ORCHARD SOFTWARE,-960.0,204990.93
2026-06-11,DEPOSIT ROSEWOOD RET,21612.0,226602.93
2026-06-12,INCOMING WIRE - MEMBER CONTRIBUTION,12321.0,238923.93
2026-06-14,DEPOSIT QUIMBY VENTURES,13335.0,252258.93
2026-06-15,PAYROLL ACH BATCH,-29609.0,222649.93
2026-06-17,CHECK #1009 FIRSTLANE LOGISTICS,-5676.0,216973.93
2026-06-19,CHECK #1012 KITE DIGITAL,-3189.0,213784.93
2026-06-19,DEPOSIT EASTGATE COL INV-2238,9944.0,223728.93
2026-06-19,DEPOSIT EASTGATE COLLECTIVE,19065.0,242793.93
2026-06-23,DEPOSIT ROSEWOOD RETAIL,15146.0,257939.93
2026-06-25,CHECK #1014 STANTON CLEANING,-3541.0,254398.93
2026-06-27,SERVICE FEE,-52.69,254346.24
2026-06-28,CHECK #1011 BRIGHT HARBO,-7393.94,246952.3
2026-06-28,CHECK #1015 STANTON CLEANING,-3973.0,242979.3
2026-06-28,CHECK #1016 RIDGELINE TE,-486.0,242493.3
2026-06-28,WIRE FEE,-63.55,242429.75
2026-06-30,INTEREST CREDIT,40.53,242470.28
2026-06-30,ENDING BALANCE,,242470.28
