txn_date,gl_account,Debit,Credit,memo
2026-04-01,1000 Cash,256840.46,,Opening balances
2026-04-01,1300 Prepaid Insurance,855.0,,Opening balances
2026-04-01,1400 Inventory,46563.83,,Opening balances
2026-04-01,1500 Equipment,60562.0,,Opening balances
2026-04-01,1590 Accumulated Depreciation,,14131.04,Opening balances
2026-04-01,2000 Accounts Payable,,35031.07,Opening balances
2026-04-01,3000 Retained Earnings,,315659.18,Opening balances
2026-04-02,1100 Accounts Receivable,8319.0,,Invoice INV-2226 - Vesper Technologies
2026-04-02,4000 Product Sales,,8319.0,Invoice INV-2226 - Vesper Technologies
2026-04-02,1400 Inventory,,3648.0,COGS - INV-2226
2026-04-02,5000 Cost of Goods Sold,3648.0,,COGS - INV-2226
2026-04-02,1100 Accounts Receivable,15177.0,,Invoice INV-2227 - Zephyr Dynamics
2026-04-02,4000 Product Sales,,15177.0,Invoice INV-2227 - Zephyr Dynamics
2026-04-02,1400 Inventory,,7815.0,COGS - INV-2227
2026-04-02,5000 Cost of Goods Sold,7815.0,,COGS - INV-2227
2026-04-03,1100 Accounts Receivable,5903.0,,Invoice INV-2225 - Vesper Technologies
2026-04-03,4000 Product Sales,,5903.0,Invoice INV-2225 - Vesper Technologies
2026-04-03,1400 Inventory,,2576.0,COGS - INV-2225
2026-04-03,5000 Cost of Goods Sold,2576.0,,COGS - INV-2225
2026-04-03,1000 Cash,,6001.0,Rent - Grandview Properties LLC
2026-04-03,6100 Rent Expense,6001.0,,Rent - Grandview Properties LLC
2026-04-04,1100 Accounts Receivable,17042.0,,Invoice INV-2229 - Zephyr Dynamics
2026-04-04,4000 Product Sales,,17042.0,Invoice INV-2229 - Zephyr Dynamics
2026-04-04,1400 Inventory,,8876.0,COGS - INV-2229
2026-04-04,5000 Cost of Goods Sold,8876.0,,COGS - INV-2229
2026-04-05,1100 Accounts Receivable,8312.0,,Invoice INV-2228 - Glenrock Solutions
2026-04-05,4000 Product Sales,,8312.0,Invoice INV-2228 - Glenrock Solutions
2026-04-05,1400 Inventory,,3834.0,COGS - INV-2228
2026-04-05,5000 Cost of Goods Sold,3834.0,,COGS - INV-2228
2026-04-06,1000 Cash,,17515.53,Payment on account - opening payables
2026-04-06,2000 Accounts Payable,17515.53,,Payment on account - opening payables
2026-04-07,2000 Accounts Payable,,3909.0,BILL-3127 Trellis Marketing Group
2026-04-07,6200 Advertising & Marketing,3909.0,,BILL-3127 Trellis Marketing Group
2026-04-09,2000 Accounts Payable,,5623.0,BILL-3130 Helix IT Solutions
2026-04-09,6450 Software Expense,5623.0,,BILL-3130 Helix IT Solutions
2026-04-12,1100 Accounts Receivable,6181.0,,Invoice INV-2224 - Quimby Ventures
2026-04-12,4000 Product Sales,,6181.0,Invoice INV-2224 - Quimby Ventures
2026-04-12,1400 Inventory,,3375.0,COGS - INV-2224
2026-04-12,5000 Cost of Goods Sold,3375.0,,COGS - INV-2224
2026-04-15,1000 Cash,,29004.0,Payroll 2026-04/01-04/15
2026-04-15,2300 Payroll Liabilities,,8180.0,Payroll 2026-04/01-04/15
2026-04-15,6000 Salaries Expense,37184.0,,Payroll 2026-04/01-04/15
2026-04-16,1000 Cash,5903.0,,Deposit - Vesper Technologies INV-2225
2026-04-16,1100 Accounts Receivable,,5903.0,Deposit - Vesper Technologies INV-2225
2026-04-16,2000 Accounts Payable,,3080.0,BILL-3128 Firstlane Logistics
2026-04-16,5100 Freight & Shipping,3080.0,,BILL-3128 Firstlane Logistics
2026-04-17,1000 Cash,,5623.0,Pay BILL-3130 Helix IT Solutions CHK#1003
2026-04-17,2000 Accounts Payable,5623.0,,Pay BILL-3130 Helix IT Solutions CHK#1003
2026-04-21,1000 Cash,15177.0,,Deposit - Zephyr Dynamics INV-2227
2026-04-21,1100 Accounts Receivable,,15177.0,Deposit - Zephyr Dynamics INV-2227
2026-04-21,2000 Accounts Payable,,2032.0,BILL-3129 Junction Utility Co-op
2026-04-21,6500 Utilities Expense,2032.0,,BILL-3129 Junction Utility Co-op
