posting_date,description,amount,balance
31-May-2026,OPENING BALANCE,,57051.52
07-Jun-2026,CHECK #1012 GRANDVIEW PR,-6740.0,50311.52
07-Jun-2026,DEPOSIT LONGMONT SYSTEMS INV-2235,24384.0,74695.52
09-Jun-2026,DEPOSIT VESPER TECHNOLOGIES,9468.0,84163.52
12-Jun-2026,INCOMING WIRE - MEMBER CONTRIBUTION,17274.0,101437.52
13-Jun-2026,CHECK #1014 WILLOW CREEK,-7159.27,94278.25
15-Jun-2026,DEPOSIT LONGMONT SYSTEMS,25514.0,119792.25
15-Jun-2026,PAYROLL ACH BATCH,-27437.0,92355.25
18-Jun-2026,CHECK #1015 JUNCTION UTILITY,-2727.0,89628.25
22-Jun-2026,DEPOSIT MARLOWE  FIN,23700.0,113328.25
24-Jun-2026,DEPOSIT MARLOWE  FINCH,12385.0,125713.25
27-Jun-2026,CHECK #1016 DELTA FACILITY,-1978.0,123735.25
27-Jun-2026,CHECK #1019 PILLAR ACCOUNTING,-13631.11,110104.14
27-Jun-2026,DEPOSIT LONGMONT SYS INV-2246,14720.0,124824.14
27-Jun-2026,SERVICE FEE,-61.42,124762.72
28-Jun-2026,CHECK #1020 TRELLIS MARKETING,-2883.0,121879.72
28-Jun-2026,PAYROLL ACH BATCH,-27343.0,94536.72
28-Jun-2026,WIRE FEE,-43.32,94493.4
30-Jun-2026,INTEREST CREDIT,34.64,94528.04
30-Jun-2026,ENDING BALANCE,,94528.04
