posting_date,account,debit,credit,Memo
01-Apr-2026,1000 Cash,119944.86,,Opening balances
01-Apr-2026,1300 Prepaid Insurance,1341.0,,Opening balances
01-Apr-2026,1400 Inventory,40540.03,,Opening balances
01-Apr-2026,1500 Equipment,169530.0,,Opening balances
01-Apr-2026,1590 Accumulated Depreciation,,45208.0,Opening balances
01-Apr-2026,2000 Accounts Payable,,18962.68,Opening balances
01-Apr-2026,3000 Retained Earnings,,267185.21,Opening balances
03-Apr-2026,1000 Cash,,6740.0,Rent - Grandview Properties LLC
03-Apr-2026,6100 Rent Expense,6740.0,,Rent - Grandview Properties LLC
04-Apr-2026,1100 Accounts Receivable,16969.0,,Invoice INV-2232 - Jasper Analytics
04-Apr-2026,4000 Wholesale Sales,,16969.0,Invoice INV-2232 - Jasper Analytics
04-Apr-2026,1400 Inventory,,9435.0,COGS - INV-2232
04-Apr-2026,5000 Cost of Goods Sold,9435.0,,COGS - INV-2232
06-Apr-2026,1000 Cash,,9481.34,Payment on account - opening payables
06-Apr-2026,2000 Accounts Payable,9481.34,,Payment on account - opening payables
07-Apr-2026,1100 Accounts Receivable,17181.0,,Invoice INV-2234 - Crestline Partners
07-Apr-2026,4000 Wholesale Sales,,17181.0,Invoice INV-2234 - Crestline Partners
07-Apr-2026,1400 Inventory,,7290.0,COGS - INV-2234
07-Apr-2026,5000 Cost of Goods Sold,7290.0,,COGS - INV-2234
10-Apr-2026,2000 Accounts Payable,,4593.0,BILL-3129 Trellis Marketing Group
10-Apr-2026,6200 Advertising & Marketing,4593.0,,BILL-3129 Trellis Marketing Group
11-Apr-2026,2000 Accounts Payable,,3336.0,BILL-3132 Trellis Marketing Group
11-Apr-2026,6200 Advertising & Marketing,3336.0,,BILL-3132 Trellis Marketing Group
12-Apr-2026,2000 Accounts Payable,,2764.0,BILL-3130 Pillar Accounting Services
12-Apr-2026,6600 Professional Fees,2764.0,,BILL-3130 Pillar Accounting Services
13-Apr-2026,1100 Accounts Receivable,11394.0,,Invoice INV-2230 - Longmont Systems
13-Apr-2026,4100 Delivery Fees,,11394.0,Invoice INV-2230 - Longmont Systems
13-Apr-2026,1100 Accounts Receivable,24753.0,,Invoice INV-2233 - Underhill Logistics
13-Apr-2026,4000 Wholesale Sales,,24753.0,Invoice INV-2233 - Underhill Logistics
13-Apr-2026,1400 Inventory,,11425.0,COGS - INV-2233
13-Apr-2026,5000 Cost of Goods Sold,11425.0,,COGS - INV-2233
14-Apr-2026,2000 Accounts Payable,,3792.0,BILL-3134 CloudSpan Hosting
14-Apr-2026,6450 Software Expense,3792.0,,BILL-3134 CloudSpan Hosting
15-Apr-2026,1000 Cash,,19163.0,Payroll 2026-04/01-04/15
15-Apr-2026,2300 Payroll Liabilities,,5404.0,Payroll 2026-04/01-04/15
15-Apr-2026,6000 Salaries Expense,24567.0,,Payroll 2026-04/01-04/15
17-Apr-2026,2000 Accounts Payable,,3714.0,BILL-3131 Bright Harbor Media
17-Apr-2026,6200 Advertising & Marketing,3714.0,,BILL-3131 Bright Harbor Media
18-Apr-2026,1000 Cash,,3792.0,Pay BILL-3134 CloudSpan Hosting CHK#1005
18-Apr-2026,2000 Accounts Payable,3792.0,,Pay BILL-3134 CloudSpan Hosting CHK#1005
19-Apr-2026,1000 Cash,,4593.0,Pay BILL-3129 Trellis Marketing Group CHK#1003
19-Apr-2026,2000 Accounts Payable,4593.0,,Pay BILL-3129 Trellis Marketing Group CHK#1003
20-Apr-2026,1000 Cash,,3336.0,Pay BILL-3132 Trellis Marketing Group CHK#1004
20-Apr-2026,2000 Accounts Payable,3336.0,,Pay BILL-3132 Trellis Marketing Group CHK#1004
20-Apr-2026,2000 Accounts Payable,,4657.0,BILL-3133 Zenith Freight Lines
