date;details;amt;balance
2026-05-31;OPENING BALANCE;;69146.45
2026-06-07;CHECK #1009 HARBORSTONE;-4581.0;64565.45
2026-06-12;INCOMING WIRE - MEMBER CONTRIBUTION;8229.0;72794.45
2026-06-15;PAYROLL ACH BATCH;-22829.0;49965.45
2026-06-17;CHECK #1011 RIDGELINE TE;-4335.0;45630.45
2026-06-17;CHECK #1012 MERIDIAN LEGAL;-1314.0;44316.45
2026-06-22;CHECK #1013 MERIDIAN LEGAL;-1176.0;43140.45
2026-06-27;SERVICE FEE;-27.5;43112.95
2026-06-28;PAYROLL ACH BATCH;-22720.0;20392.95
2026-06-28;WIRE FEE;-30.98;20361.97
2026-06-30;INTEREST CREDIT;29.92;20391.89
2026-06-30;ENDING BALANCE;;20391.89
