date;account;Debit;Credit;Memo
2026-04-01;1000 Cash;131920.75;;Opening balances
2026-04-01;1300 Prepaid Insurance;1620.0;;Opening balances
2026-04-01;1500 Equipment;127850.0;;Opening balances
2026-04-01;1590 Accumulated Depreciation;;38354.94;Opening balances
2026-04-01;2000 Accounts Payable;;23354.6;Opening balances
2026-04-01;3000 Retained Earnings;;199681.21;Opening balances
2026-04-02;1100 Accounts Receivable;5151.0;;Invoice INV-2242 - Ivywood Enterprises
2026-04-02;4000 Consulting Revenue;;5151.0;Invoice INV-2242 - Ivywood Enterprises
2026-04-03;1000 Cash;;4581.0;Rent - Harborstone Realty Partners
2026-04-03;6100 Rent Expense;4581.0;;Rent - Harborstone Realty Partners
2026-04-03;2000 Accounts Payable;;2768.0;BILL-3108 Meridian Legal LLP
2026-04-03;6600 Professional Fees;2768.0;;BILL-3108 Meridian Legal LLP
2026-04-05;2000 Accounts Payable;;3960.0;BILL-3107 Pillar Accounting Services
2026-04-05;6600 Professional Fees;3960.0;;BILL-3107 Pillar Accounting Services
2026-04-06;1000 Cash;;11677.3;Payment on account - opening payables
2026-04-06;2000 Accounts Payable;11677.3;;Payment on account - opening payables
2026-04-07;2000 Accounts Payable;;1614.0;BILL-3110 Junction Utility Co-op
2026-04-07;6500 Utilities Expense;1614.0;;BILL-3110 Junction Utility Co-op
2026-04-09;1000 Cash;;3960.0;Pay BILL-3107 Pillar Accounting Services CHK#1004
2026-04-09;2000 Accounts Payable;3960.0;;Pay BILL-3107 Pillar Accounting Services CHK#1004
2026-04-10;1000 Cash;;2768.0;Pay BILL-3108 Meridian Legal LLP CHK#1003
2026-04-10;2000 Accounts Payable;2768.0;;Pay BILL-3108 Meridian Legal LLP CHK#1003
2026-04-10;1000 Cash;;1614.0;Pay BILL-3110 Junction Utility Co-op CHK#1005
2026-04-10;2000 Accounts Payable;1614.0;;Pay BILL-3110 Junction Utility Co-op CHK#1005
2026-04-11;1100 Accounts Receivable;7889.0;;Invoice INV-2243 - Kelso Brands
2026-04-11;4100 Retainer Revenue;;7889.0;Invoice INV-2243 - Kelso Brands
2026-04-12;1100 Accounts Receivable;3550.0;;Invoice INV-2241 - Wexford Group
2026-04-12;4000 Consulting Revenue;;3550.0;Invoice INV-2241 - Wexford Group
2026-04-15;1000 Cash;;22812.0;Payroll 2026-04/01-04/15
2026-04-15;2300 Payroll Liabilities;;6434.0;Payroll 2026-04/01-04/15
2026-04-15;6000 Salaries Expense;29246.0;;Payroll 2026-04/01-04/15
2026-04-16;1100 Accounts Receivable;3944.0;;Invoice INV-2240 - Ivywood Enterprises
2026-04-16;4000 Consulting Revenue;;3944.0;Invoice INV-2240 - Ivywood Enterprises
2026-04-19;1100 Accounts Receivable;13290.0;;Invoice INV-2238 - Wexford Group
2026-04-19;4000 Consulting Revenue;;13290.0;Invoice INV-2238 - Wexford Group
2026-04-19;1100 Accounts Receivable;4836.0;;Invoice INV-2239 - Jasper Analytics
