Date;description;amt;balance
2026-05-31;OPENING BALANCE;;169903.87
2026-06-05;DEPOSIT CORLISS MARI INV-2244;19160.0;189063.87
2026-06-07;CHECK #1009 HARBORSTONE REALTY;-6310.0;182753.87
2026-06-11;DEPOSIT CORLISS MARI;22585.0;205338.87
2026-06-12;INCOMING WIRE - MEMBER CONTRIBUTION;5876.0;211214.87
2026-06-13;DEPOSIT CORLISS MARINE;22645.0;233859.87
2026-06-14;DEPOSIT UNDERHILL LOGISTICS INV-2246;6374.0;240233.87
2026-06-15;PAYROLL ACH BATCH;-27541.0;212692.87
2026-06-16;DEPOSIT CORLISS MARI;18992.0;231684.87
2026-06-18;DEPOSIT FERRELL INDU;17035.0;248719.87
2026-06-21;DEPOSIT CORLISS MARI;12776.0;261495.87
2026-06-27;SERVICE FEE;-57.28;261438.59
2026-06-28;CHECK #1013 TRELLIS MARKETING;-10957.31;250481.28
2026-06-28;WIRE FEE;-45.13;250436.15
2026-06-30;INTEREST CREDIT;32.42;250468.57
2026-06-30;ENDING BALANCE;;250468.57
