date;transaction_description;Amount;balance
31-May-2026;OPENING BALANCE;;251392.26
07-Jun-2026;CHECK #1010 HARBORSTONE REALTY;-7390.0;244002.26
07-Jun-2026;DEPOSIT BIRCHFIELD FOODS;26110.0;270112.26
12-Jun-2026;INCOMING WIRE - MEMBER CONTRIBUTION;16433.0;286545.26
13-Jun-2026;DEPOSIT EASTGATE COL INV-2228;27563.0;314108.26
15-Jun-2026;CHECK #1011 PILLAR ACCOUNTING;-2327.0;311781.26
15-Jun-2026;PAYROLL ACH BATCH;-42447.0;269334.26
16-Jun-2026;DEPOSIT ZEPHYR DYNAMICS INV-2229;13185.0;282519.26
17-Jun-2026;CHECK #1012 TRELLIS MARKETING;-4929.0;277590.26
18-Jun-2026;DEPOSIT ALDERGATE INSURANCE;19970.0;297560.26
18-Jun-2026;DEPOSIT BIRCHFIELD F;8148.0;305708.26
23-Jun-2026;DEPOSIT ALDERGATE IN;19015.0;324723.26
24-Jun-2026;CHECK #1016 TRELLIS MARKETING;-15966.59;308756.67
26-Jun-2026;CHECK #1015 ZENITH FREIG;-3375.0;305381.67
27-Jun-2026;CHECK #1014 UPTOWN CATER;-2622.0;302759.67
27-Jun-2026;SERVICE FEE;-59.64;302700.03
28-Jun-2026;PAYROLL ACH BATCH;-42385.0;260315.03
28-Jun-2026;WIRE FEE;-38.32;260276.71
30-Jun-2026;ENDING BALANCE;;260276.71
