txn_date;transaction_description;amt;balance
05/31/2026;OPENING BALANCE;;251961.72
06/06/2026;CHECK #1011 AMBERFIELD P;-12159.0;239802.72
06/10/2026;DEPOSIT HARTWELL GROUP INV-2246;33891.0;273693.72
06/12/2026;INCOMING WIRE - MEMBER CONTRIBUTION;16289.0;289982.72
06/15/2026;PAYROLL ACH BATCH;-54382.0;235600.72
06/16/2026;DEPOSIT LONGMONT SYS;24959.0;260559.72
06/18/2026;CHECK #1015 QUICKSILVER COURIERS;-10941.19;249618.53
06/19/2026;CHECK #1012 BRIGHT HARBOR;-6135.0;243483.53
06/19/2026;DEPOSIT VESPER TECHNOLOGIES;21201.0;264684.53
06/27/2026;SERVICE FEE;-54.78;264629.75
06/28/2026;PAYROLL ACH BATCH;-54546.0;210083.75
06/28/2026;WIRE FEE;-56.64;210027.11
06/30/2026;INTEREST CREDIT;12.11;210039.22
06/30/2026;ENDING BALANCE;;210039.22
