txn_date,details,Amount,balance
31-May-2026,OPENING BALANCE,,208583.93
09-Jun-2026,CHECK #1014 AMBERFIELD PROPERTY,-7856.0,200727.93
11-Jun-2026,CHECK #1016 BRIGHT HARBO,-771.0,199956.93
11-Jun-2026,DEPOSIT ATLAS VERDE INV-2237,12379.0,212335.93
12-Jun-2026,DEPOSIT IVYWOOD ENTERPRISES INV-2235,13517.0,225852.93
12-Jun-2026,INCOMING WIRE - MEMBER CONTRIBUTION,13604.0,239456.93
14-Jun-2026,DEPOSIT KELSO BRANDS,7316.0,246772.93
15-Jun-2026,PAYROLL ACH BATCH,-22078.0,224694.93
27-Jun-2026,SERVICE FEE,-29.19,224665.74
28-Jun-2026,CHECK #1017 PILLAR ACCOU,-3577.0,221088.74
28-Jun-2026,WIRE FEE,-38.8,221049.94
30-Jun-2026,ENDING BALANCE,,221049.94
