txn_date,Account,dr,credit,description
01-Apr-2026,1000 Cash,257423.09,,Opening balances
01-Apr-2026,1300 Prepaid Insurance,936.0,,Opening balances
01-Apr-2026,1500 Equipment,130844.0,,Opening balances
01-Apr-2026,1590 Accumulated Depreciation,,28349.49,Opening balances
01-Apr-2026,2000 Accounts Payable,,18364.32,Opening balances
01-Apr-2026,3000 Retained Earnings,,342489.28,Opening balances
01-Apr-2026,1100 Accounts Receivable,10437.0,,Invoice INV-2233 - Vesper Technologies
01-Apr-2026,4000 Consulting Revenue,,10437.0,Invoice INV-2233 - Vesper Technologies
03-Apr-2026,1000 Cash,,7856.0,Rent - Amberfield Property Group
03-Apr-2026,6100 Rent Expense,7856.0,,Rent - Amberfield Property Group
04-Apr-2026,1100 Accounts Receivable,14967.0,,Invoice INV-2228 - Zephyr Dynamics
04-Apr-2026,4000 Consulting Revenue,,14967.0,Invoice INV-2228 - Zephyr Dynamics
05-Apr-2026,2000 Accounts Payable,,717.0,BILL-3112 Trellis Marketing Group
05-Apr-2026,6200 Advertising & Marketing,717.0,,BILL-3112 Trellis Marketing Group
06-Apr-2026,1000 Cash,,9182.16,Payment on account - opening payables
06-Apr-2026,2000 Accounts Payable,9182.16,,Payment on account - opening payables
06-Apr-2026,2000 Accounts Payable,,4346.0,BILL-3107 Helix IT Solutions
06-Apr-2026,6450 Software Expense,4346.0,,BILL-3107 Helix IT Solutions
10-Apr-2026,1100 Accounts Receivable,7458.0,,Invoice INV-2230 - Zephyr Dynamics
10-Apr-2026,4000 Consulting Revenue,,7458.0,Invoice INV-2230 - Zephyr Dynamics
10-Apr-2026,1000 Cash,,4346.0,Pay BILL-3107 Helix IT Solutions CHK#1004
10-Apr-2026,2000 Accounts Payable,4346.0,,Pay BILL-3107 Helix IT Solutions CHK#1004
10-Apr-2026,2000 Accounts Payable,,1799.0,BILL-3111 Kite Digital Ads
10-Apr-2026,6200 Advertising & Marketing,1799.0,,BILL-3111 Kite Digital Ads
11-Apr-2026,1100 Accounts Receivable,16102.0,,Invoice INV-2227 - Kelso Brands
11-Apr-2026,4000 Consulting Revenue,,16102.0,Invoice INV-2227 - Kelso Brands
13-Apr-2026,1000 Cash,,717.0,Pay BILL-3112 Trellis Marketing Group CHK#1003
13-Apr-2026,2000 Accounts Payable,717.0,,Pay BILL-3112 Trellis Marketing Group CHK#1003
14-Apr-2026,1100 Accounts Receivable,17084.0,,Invoice INV-2231 - Ivywood Enterprises
14-Apr-2026,4000 Consulting Revenue,,17084.0,Invoice INV-2231 - Ivywood Enterprises
15-Apr-2026,1000 Cash,,19500.0,Payroll 2026-04/01-04/15
15-Apr-2026,2300 Payroll Liabilities,,5500.0,Payroll 2026-04/01-04/15
15-Apr-2026,6000 Salaries Expense,25000.0,,Payroll 2026-04/01-04/15
17-Apr-2026,1100 Accounts Receivable,5973.0,,Invoice INV-2229 - Ivywood Enterprises
17-Apr-2026,4000 Consulting Revenue,,5973.0,Invoice INV-2229 - Ivywood Enterprises
17-Apr-2026,2000 Accounts Payable,,1485.0,BILL-3109 CloudSpan Hosting
17-Apr-2026,6450 Software Expense,1485.0,,BILL-3109 CloudSpan Hosting
18-Apr-2026,2000 Accounts Payable,,3257.0,BILL-3108 Meridian Legal LLP
18-Apr-2026,6600 Professional Fees,3257.0,,BILL-3108 Meridian Legal LLP
20-Apr-2026,2000 Accounts Payable,,3629.0,BILL-3110 CloudSpan Hosting
