date,details,Amount,balance
05/31/2026,OPENING BALANCE,,101524.17
06/03/2026,DEPOSIT JASPER ANALYTICS INV-2225,6745.0,108269.17
06/05/2026,CHECK #1008 AMBERFIELD PROPERTY,-5660.0,102609.17
06/08/2026,CHECK #1013 NIMBUS APPS,-564.0,102045.17
06/08/2026,DEPOSIT HARTWELL GRO,14986.0,117031.17
06/11/2026,DEPOSIT HARTWELL GRO INV-2231,11154.0,128185.17
06/12/2026,INCOMING WIRE - MEMBER CONTRIBUTION,14384.0,142569.17
06/15/2026,PAYROLL ACH BATCH,-15962.0,126607.17
06/21/2026,DEPOSIT WEXFORD GROUP,14558.0,141165.17
06/27/2026,SERVICE FEE,-60.15,141105.02
06/28/2026,CHECK #1012 RIDGELINE TE,-1143.0,139962.02
06/28/2026,WIRE FEE,-52.33,139909.69
06/30/2026,INTEREST CREDIT,16.1,139925.79
06/30/2026,ENDING BALANCE,,139925.79
