posting_date;details;Amount;balance
31-May-2026;OPENING BALANCE;;100202.74
03-Jun-2026;DEPOSIT BROCKMAN  HA INV-2230;14987.0;115189.74
07-Jun-2026;CHECK #1010 GRANDVIEW PROPERTIES;-6775.0;108414.74
09-Jun-2026;DEPOSIT BROCKMAN  HA;30357.0;138771.74
11-Jun-2026;DEPOSIT CRESTLINE PA INV-2228;17946.0;156717.74
11-Jun-2026;DEPOSIT NORDICA LABS;22271.0;178988.74
12-Jun-2026;INCOMING WIRE - MEMBER CONTRIBUTION;19100.0;198088.74
15-Jun-2026;PAYROLL ACH BATCH;-42356.0;155732.74
16-Jun-2026;DEPOSIT ZEPHYR DYNAMICS;23020.0;178752.74
21-Jun-2026;CHECK #1012 ZENITH FREIGHT;-19196.74;159556.0
24-Jun-2026;CHECK #1013 RIDGELINE TE;-8253.0;151303.0
27-Jun-2026;SERVICE FEE;-61.77;151241.23
28-Jun-2026;CHECK #1014 MERIDIAN LEG;-16038.13;135203.1
30-Jun-2026;ENDING BALANCE;;135203.1
